update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.010064,44.823920,0.688657,0.004546,0.0540
2,4096,-0.004281,50.145288,0.681165,0.001579,0.0032
3,6144,-0.004381,39.497029,0.675847,0.005518,0.0378
4,8192,-0.008440,28.104592,0.671724,0.010327,0.1098
5,10240,0.001450,29.710874,0.680012,0.005758,0.0366
6,12288,-0.005846,24.486852,0.664231,0.011111,0.0958
7,14336,0.002391,35.813745,0.679279,0.001093,0.0005
8,16384,-0.005997,31.052144,0.663504,0.004557,0.0246
9,18432,-0.008773,27.875631,0.643686,0.003699,0.0275
10,20480,-0.000696,34.364037,0.655241,0.005857,0.0319
11,22528,-0.007734,31.583944,0.631043,0.008562,0.0715
12,24576,-0.003724,30.985924,0.627805,0.007013,0.0482
13,26624,-0.002570,43.242682,0.640051,0.006034,0.0355
14,28672,-0.006769,40.244038,0.621087,0.004182,0.0211
15,30720,0.001429,42.891973,0.622067,0.004236,0.0403
16,32768,0.000551,56.321990,0.630846,0.002948,0.0169
17,34816,-0.007104,54.219542,0.615234,0.006816,0.0979
18,36864,-0.006560,50.876962,0.616448,0.006828,0.0787
19,38912,0.006398,45.328893,0.637412,0.007288,0.0728
20,40960,-0.012698,66.424000,0.595798,0.016396,0.1561
21,43008,0.004322,50.254704,0.625797,0.002229,0.0197
22,45056,-0.010245,66.660112,0.595114,0.007841,0.0678
23,47104,0.003273,45.797573,0.610378,0.004578,0.0415
24,49152,-0.002610,58.685464,0.604293,0.013542,0.1028
25,51200,0.008745,60.703230,0.631894,0.005682,0.0521
26,53248,-0.010057,74.232323,0.585972,0.014504,0.1179
27,55296,0.004042,39.093817,0.597773,0.004167,0.0467
28,57344,-0.006349,64.164309,0.599988,0.005489,0.0469
29,59392,-0.002497,45.671285,0.597863,0.007536,0.0907
30,61440,-0.003995,71.485817,0.594002,0.019721,0.1365
31,63488,0.003730,64.758877,0.606386,0.005296,0.0502
32,65536,0.001705,49.805723,0.601034,0.008072,0.0936
33,67584,0.000860,59.496284,0.590421,0.011024,0.0620
34,69632,-0.000588,46.456111,0.604595,0.011740,0.2018
35,71680,-0.009739,68.364113,0.564413,0.017034,0.2069
36,73728,0.003532,24.245308,0.578815,0.010450,0.1457
37,75776,-0.001199,69.269249,0.572049,0.014337,0.1017
38,77824,0.008665,25.569540,0.610403,0.008255,0.1271
39,79872,-0.000656,42.983351,0.579095,0.015324,0.1805
40,81920,0.003810,43.550373,0.581381,0.008348,0.1178
41,83968,0.000074,44.688076,0.605472,0.016073,0.1411
42,86016,-0.001099,62.308148,0.577845,0.013388,0.1446
43,88064,0.002989,29.134779,0.587660,0.011308,0.1334
44,90112,-0.003927,46.650408,0.572979,0.004885,0.0552
45,92160,0.013392,12.150447,0.599762,0.006423,0.0571
46,94208,-0.005377,118.667612,0.563166,0.019860,0.1257
47,96256,0.009547,20.904666,0.589943,0.003036,0.0251
48,98304,-0.008792,65.087482,0.566150,0.004054,0.0354
49,100352,0.010157,13.324634,0.592880,0.005066,0.0431
50,102400,-0.001884,52.442896,0.569029,0.007865,0.0941
51,104448,-0.005018,17.285398,0.570227,0.010299,0.1436
52,106496,0.001769,28.557288,0.583699,0.005968,0.0689
53,108544,-0.005618,47.789807,0.571100,0.007723,0.0747
