episode,step,return
1,32,32.0
2,64,32.0
3,96,32.0
4,110,14.0
5,154,44.0
6,179,25.0
7,198,19.0
8,250,52.0
9,273,23.0
10,290,17.0
11,302,12.0
12,330,28.0
13,342,12.0
14,371,29.0
15,391,20.0
16,441,50.0
17,467,26.0
18,527,60.0
19,539,12.0
20,563,24.0
21,592,29.0
22,606,14.0
23,628,22.0
24,643,15.0
25,663,20.0
26,694,31.0
27,710,16.0
28,743,33.0
29,762,19.0
30,776,14.0
31,808,32.0
32,824,16.0
33,853,29.0
34,878,25.0
35,898,20.0
36,907,9.0
37,929,22.0
38,945,16.0
39,964,19.0
40,995,31.0
41,1019,24.0
42,1035,16.0
43,1063,28.0
44,1079,16.0
45,1095,16.0
46,1111,16.0
47,1129,18.0
48,1147,18.0
49,1169,22.0
50,1179,10.0
51,1274,95.0
52,1289,15.0
53,1305,16.0
54,1326,21.0
55,1340,14.0
56,1356,16.0
57,1373,17.0
58,1382,9.0
59,1398,16.0
60,1423,25.0
61,1438,15.0
62,1452,14.0
63,1531,79.0
64,1552,21.0
65,1567,15.0
66,1587,20.0
67,1606,19.0
68,1620,14.0
69,1635,15.0
70,1664,29.0
71,1673,9.0
72,1693,20.0
73,1722,29.0
74,1738,16.0
75,1766,28.0
76,1816,50.0
77,1835,19.0
78,1861,26.0
79,1877,16.0
80,1899,22.0
81,1923,24.0
82,1933,10.0
83,1960,27.0
84,1993,33.0
85,2003,10.0
86,2019,16.0
87,2031,12.0
88,2044,13.0
89,2077,33.0
90,2112,35.0
91,2131,19.0
92,2145,14.0
93,2188,43.0
94,2200,12.0
95,2220,20.0
96,2230,10.0
97,2251,21.0
98,2298,47.0
99,2313,15.0
100,2326,13.0
101,2374,48.0
102,2399,25.0
103,2413,14.0
104,2456,43.0
105,2489,33.0
106,2517,28.0
107,2527,10.0
108,2540,13.0
109,2566,26.0
110,2577,11.0
111,2585,8.0
112,2602,17.0
113,2635,33.0
114,2690,55.0
115,2734,44.0
116,2769,35.0
117,2792,23.0
118,2822,30.0
119,2842,20.0
120,2882,40.0
121,2944,62.0
122,2956,12.0
123,2978,22.0
124,2991,13.0
125,3007,16.0
126,3022,15.0
127,3032,10.0
128,3069,37.0
129,3084,15.0
130,3101,17.0
131,3135,34.0
132,3148,13.0
133,3159,11.0
134,3187,28.0
135,3199,12.0
136,3211,12.0
137,3239,28.0
138,3254,15.0
139,3267,13.0
140,3282,15.0
141,3300,18.0
142,3325,25.0
143,3338,13.0
144,3351,13.0
145,3378,27.0
146,3397,19.0
147,3417,20.0
148,3440,23.0
149,3453,13.0
150,3496,43.0
151,3514,18.0
152,3531,17.0
153,3545,14.0
154,3562,17.0
155,3578,16.0
156,3592,14.0
157,3622,30.0
158,3642,20.0
159,3660,18.0
160,3692,32.0
161,3705,13.0
162,3740,35.0
163,3755,15.0
164,3763,8.0
165,3790,27.0
166,3825,35.0
167,3866,41.0
168,3881,15.0
169,3899,18.0
170,3925,26.0
171,3935,10.0
172,3963,28.0
173,3983,20.0
174,3997,14.0
175,4019,22.0
176,4034,15.0
177,4056,22.0
178,4066,10.0
179,4081,15.0
180,4107,26.0
181,4138,31.0
182,4156,18.0
183,4172,16.0
184,4185,13.0
185,4219,34.0
186,4236,17.0
187,4247,11.0
188,4264,17.0
189,4280,16.0
190,4291,11.0
191,4304,13.0
192,4324,20.0
193,4337,13.0
194,4376,39.0
195,4405,29.0
196,4416,11.0
197,4430,14.0
198,4447,17.0
199,4462,15.0
200,4477,15.0
201,4489,12.0
202,4504,15.0
203,4528,24.0
204,4546,18.0
205,4571,25.0
206,4610,39.0
207,4624,14.0
208,4638,14.0
209,4655,17.0
210,4686,31.0
211,4698,12.0
212,4713,15.0
213,4733,20.0
214,4744,11.0
215,4754,10.0
216,4769,15.0
217,4778,9.0
218,4791,13.0
219,4814,23.0
220,4829,15.0
221,4845,16.0
222,4866,21.0
223,4883,17.0
224,4899,16.0
225,4916,17.0
226,4929,13.0
227,4940,11.0
228,4952,12.0
229,4969,17.0
230,4980,11.0
231,4995,15.0
232,5009,14.0
233,5031,22.0
234,5044,13.0
235,5058,14.0
236,5076,18.0
237,5092,16.0
238,5104,12.0
239,5117,13.0
240,5125,8.0
241,5137,12.0
242,5149,12.0
243,5160,11.0
244,5172,12.0
245,5187,15.0
246,5205,18.0
247,5224,19.0
248,5244,20.0
249,5254,10.0
250,5268,14.0
251,5282,14.0
252,5294,12.0
253,5308,14.0
254,5320,12.0
255,5328,8.0
256,5339,11.0
257,5355,16.0
258,5368,13.0
259,5386,18.0
260,5407,21.0
261,5421,14.0
262,5449,28.0
263,5464,15.0
264,5480,16.0
265,5512,32.0
266,5538,26.0
267,5547,9.0
268,5557,10.0
