update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.024114,0.293656,0.691637,0.001521,0.0054
2,4096,-0.043597,0.133815,0.653779,0.017530,0.3689
3,6144,-0.014280,0.160385,0.588079,0.013316,0.1414
4,8192,-0.002094,0.193604,0.547317,0.004985,0.0690
5,10240,-0.008437,0.220747,0.567305,0.005462,0.0956
6,12288,-0.022011,0.269898,0.600616,0.008039,0.1762
7,14336,-0.026865,0.292259,0.627965,0.010160,0.2159
8,16384,-0.030407,0.299438,0.629446,0.012602,0.2580
9,18432,-0.041210,0.316678,0.626964,0.017428,0.3474
10,20480,-0.044471,0.303954,0.614651,0.024587,0.4343
11,22528,-0.033053,0.519035,0.604387,0.020742,0.3790
12,24576,-0.015282,1.066171,0.600934,0.015300,0.2959
13,26624,-0.007066,1.702391,0.606368,0.010246,0.1654
14,28672,-0.005027,2.898894,0.610493,0.004480,0.0360
15,30720,-0.009465,2.765322,0.597802,0.013207,0.2312
16,32768,-0.017473,2.011296,0.580735,0.021661,0.3753
17,34816,-0.015026,1.211968,0.574839,0.014315,0.2332
18,36864,-0.007625,0.970358,0.557691,0.004695,0.0503
19,38912,-0.007692,0.721655,0.557597,0.005407,0.0710
20,40960,-0.006078,0.529189,0.540292,0.004216,0.0473
21,43008,-0.012077,0.367744,0.526233,0.005581,0.0787
22,45056,-0.007498,0.336955,0.524618,0.003521,0.0414
23,47104,-0.024525,0.285679,0.525509,0.013491,0.1693
24,49152,-0.007896,0.167327,0.517432,0.003646,0.0527
25,51200,-0.004095,0.186835,0.525116,0.002040,0.0141
26,53248,-0.005653,0.123441,0.491392,0.001803,0.0174
27,55296,-0.012763,0.548309,0.489199,0.019284,0.2484
28,57344,-0.005203,0.253101,0.486442,0.012531,0.1987
29,59392,-0.012234,0.849935,0.504372,0.031943,0.3710
30,61440,-0.004593,0.309294,0.495253,0.004814,0.0709
31,63488,-0.005464,0.373169,0.496321,0.004929,0.0609
32,65536,-0.013258,0.083695,0.473197,0.006197,0.0878
33,67584,-0.005130,0.234931,0.474689,0.007173,0.1251
34,69632,-0.005320,0.252391,0.462220,0.005019,0.0656
35,71680,-0.008430,0.296752,0.455867,0.017625,0.1976
36,73728,-0.003305,0.481877,0.455287,0.005038,0.0799
37,75776,-0.002585,0.462920,0.462345,0.003570,0.0485
38,77824,-0.002116,0.300481,0.458201,0.002052,0.0292
39,79872,-0.004489,0.272865,0.453325,0.003820,0.0468
40,81920,-0.001005,0.479970,0.449769,0.002478,0.0236
41,83968,-0.004567,0.089534,0.439834,0.003264,0.0412
42,86016,-0.003793,0.158414,0.435192,0.007090,0.0920
43,88064,-0.003004,0.167428,0.438293,0.004811,0.0749
44,90112,-0.001867,0.170236,0.451685,0.002510,0.0260
45,92160,-0.002382,0.124534,0.452984,0.002699,0.0296
46,94208,-0.000776,0.381135,0.459490,0.001085,0.0094
47,96256,-0.001091,0.193613,0.459005,0.001460,0.0148
48,98304,-0.006005,0.794124,0.459066,0.008461,0.1208
49,100352,-0.001632,0.169115,0.460490,0.004597,0.0649
50,102400,-0.007674,0.140440,0.450450,0.005964,0.0949
51,104448,-0.005882,0.720821,0.473938,0.006761,0.1001
52,106496,-0.002334,0.604259,0.481293,0.003333,0.0358
53,108544,-0.002501,0.604672,0.482461,0.006680,0.1037
54,110592,-0.002174,0.291794,0.489761,0.004520,0.0606
55,112640,-0.003685,0.287435,0.475216,0.003584,0.0442
56,114688,-0.001320,0.229121,0.467377,0.002463,0.0181
57,116736,-0.001779,0.248395,0.460001,0.001642,0.0147
58,118784,-0.003432,0.844428,0.469434,0.002846,0.0265
59,120832,-0.001866,0.479803,0.468871,0.004722,0.0722
60,122880,-0.001078,0.743002,0.458672,0.003164,0.0361
61,124928,-0.002848,1.102438,0.482813,0.007847,0.1422
62,126976,-0.001835,2.529393,0.506233,0.004767,0.0591
63,129024,-0.001932,2.840027,0.503798,0.008360,0.1253
64,131072,0.000167,2.089842,0.492967,0.000379,0.0001
65,133120,-0.003307,2.261656,0.502600,0.006811,0.1162
66,135168,-0.002804,2.607505,0.508595,0.008515,0.1472
67,137216,-0.000128,1.921019,0.504229,0.002330,0.0062
68,139264,-0.003188,1.911163,0.518013,0.005282,0.0614
69,141312,-0.008475,1.767272,0.524308,0.011932,0.2022
70,143360,-0.004233,1.103387,0.518150,0.003437,0.0382
71,145408,-0.003096,1.229027,0.527162,0.003610,0.0454
72,147456,-0.002156,1.626162,0.534844,0.001626,0.0121
73,149504,-0.004865,1.450004,0.539235,0.005182,0.0722
74,151552,-0.001215,1.844347,0.557277,0.002136,0.0097
75,153600,-0.002898,1.768314,0.554251,0.002050,0.0170
76,155648,-0.008513,2.903635,0.534774,0.009342,0.1598
77,157696,-0.010263,1.231218,0.539149,0.013753,0.2383
78,159744,-0.002250,2.502257,0.552742,0.006119,0.0715
79,161792,-0.002003,2.719691,0.554502,0.001091,0.0029
80,163840,-0.001593,0.665364,0.568623,0.003552,0.0297
81,165888,-0.001152,1.578976,0.555444,0.000554,0.0008
82,167936,-0.001531,2.893410,0.549363,0.004832,0.0508
83,169984,-0.014922,0.611163,0.544514,0.011778,0.2155
84,172032,-0.003676,1.900487,0.554503,0.002726,0.0208
85,174080,-0.002425,0.881332,0.548485,0.006423,0.0964
86,176128,-0.001592,4.015261,0.535185,0.001323,0.0004
87,178176,-0.000996,2.578601,0.536588,0.003352,0.0293
88,180224,-0.004563,1.827792,0.544298,0.002394,0.0223
89,182272,-0.010195,1.529465,0.539118,0.017211,0.2837
90,184320,-0.012517,0.800295,0.544766,0.011403,0.1784
91,186368,-0.001557,0.931933,0.545704,0.004149,0.0477
92,188416,-0.004223,0.598203,0.528969,0.002649,0.0210
93,190464,-0.047237,0.018238,0.489109,0.009011,0.1068
94,192512,-0.030269,0.012656,0.458425,0.006166,0.0713
95,194560,-0.021331,0.010786,0.433676,0.003196,0.0352
96,196608,-0.035692,0.010202,0.421451,0.017420,0.1742
97,198656,-0.025870,0.010090,0.409590,0.006736,0.1039
98,200704,-0.038339,0.008828,0.395571,0.017626,0.1616
99,202752,-0.026727,0.009890,0.392750,0.006443,0.1017
100,204800,-0.035913,0.008878,0.368645,0.014198,0.1688
101,206848,-0.038711,0.009487,0.357655,0.012011,0.1640
102,208896,-0.032316,0.009199,0.352721,0.010275,0.1544
103,210944,-0.000168,1.951740,0.344916,0.001658,0.0172
104,212992,-0.001824,0.984583,0.344515,0.022964,0.2176
105,215040,-0.031160,0.011166,0.323427,0.012754,0.1665
106,217088,-0.000208,0.999415,0.327447,0.001230,0.0133
107,219136,-0.026036,0.010868,0.311732,0.009714,0.1415
108,221184,-0.016541,0.008705,0.302801,0.006188,0.0509
109,223232,-0.021729,0.009495,0.288864,0.007320,0.1090
110,225280,-0.011678,0.008738,0.279621,0.004352,0.0665
111,227328,-0.009651,0.008904,0.265682,0.003103,0.0412
112,229376,-0.010807,0.008369,0.263959,0.003266,0.0480
113,231424,-0.011791,0.008252,0.245990,0.003529,0.0572
114,233472,-0.007525,0.008781,0.257177,0.002429,0.0272
115,235520,-0.012531,0.009460,0.251212,0.004373,0.0725
116,237568,-0.015554,0.009658,0.250491,0.004093,0.0654
117,239616,-0.007573,0.009620,0.250256,0.002435,0.0314
118,241664,-0.013541,0.009854,0.250191,0.003755,0.0594
119,243712,-0.015067,0.009878,0.253758,0.004089,0.0690
120,245760,-0.010534,0.009804,0.254991,0.003058,0.0402
121,247808,-0.013592,0.009869,0.251494,0.004358,0.0683
122,249856,-0.013097,0.009415,0.250768,0.003570,0.0593
123,251904,-0.016545,0.008883,0.255636,0.004912,0.0815
124,253952,-0.008824,0.007710,0.264427,0.003111,0.0507
125,256000,-0.014127,0.007681,0.277379,0.004189,0.0666
126,258048,-0.013786,0.006897,0.263771,0.003575,0.0554
127,260096,-0.025961,0.006403,0.262933,0.008762,0.1361
128,262144,-0.032887,0.006101,0.274178,0.015542,0.1887
129,264192,-0.038408,0.005611,0.281435,0.035832,0.2489
130,266240,-0.061523,0.005851,0.298379,0.096619,0.3461
131,268288,-0.094735,0.005666,0.321420,0.226723,0.4810
132,270336,-0.116038,0.006045,0.343792,0.313887,0.5798
133,272384,-0.001752,1.262706,0.458123,0.021011,0.2995
134,274432,-0.119133,0.004950,0.384252,0.284225,0.6787
135,276480,-0.001298,1.274781,0.513943,0.014178,0.2306
136,278528,-0.098040,0.005545,0.411854,0.207697,0.6829
137,280576,-0.000484,1.282010,0.556854,0.002745,0.0257
138,282624,-0.057589,0.003471,0.550748,0.070344,0.6474
139,284672,-0.000796,15.464678,0.527461,0.011003,0.1333
140,286720,-0.001057,22.149085,0.550407,0.004584,0.0378
141,288768,-0.002182,31.971458,0.524926,0.007948,0.0934
142,290816,0.006270,32.095761,0.544656,0.020491,0.1517
143,292864,0.013178,36.640473,0.548210,0.008480,0.0929
144,294912,-0.005827,36.458737,0.526806,0.004076,0.0478
145,296960,-0.011455,29.969361,0.522668,0.003967,0.0486
146,299008,-0.014518,28.155754,0.526068,0.004656,0.0561
147,301056,-0.032139,22.041307,0.526020,0.010018,0.1042
148,303104,-0.039074,19.901843,0.511944,0.011153,0.1173
149,305152,-0.038876,18.260418,0.499135,0.011347,0.1185
150,307200,-0.046074,12.161148,0.482119,0.017951,0.1722
151,309248,-0.047879,8.593581,0.461855,0.021148,0.1934
152,311296,-0.049788,8.103810,0.427460,0.023625,0.2138
153,313344,-0.038234,7.730214,0.400001,0.017252,0.1594
154,315392,-0.031945,8.341066,0.386687,0.019269,0.1841
