episode,step,return
1,32,32.0
2,64,32.0
3,96,32.0
4,110,14.0
5,154,44.0
6,179,25.0
7,198,19.0
8,250,52.0
9,273,23.0
10,290,17.0
11,302,12.0
12,330,28.0
13,342,12.0
14,371,29.0
15,391,20.0
16,441,50.0
17,467,26.0
18,527,60.0
19,539,12.0
20,563,24.0
21,592,29.0
22,606,14.0
23,628,22.0
24,643,15.0
25,663,20.0
26,694,31.0
27,710,16.0
28,743,33.0
29,762,19.0
30,776,14.0
31,808,32.0
32,824,16.0
33,853,29.0
34,878,25.0
35,898,20.0
36,907,9.0
37,929,22.0
38,945,16.0
39,964,19.0
40,995,31.0
41,1019,24.0
42,1035,16.0
43,1063,28.0
44,1079,16.0
45,1095,16.0
46,1111,16.0
47,1129,18.0
48,1147,18.0
49,1169,22.0
50,1179,10.0
51,1274,95.0
52,1289,15.0
53,1305,16.0
54,1326,21.0
55,1340,14.0
56,1356,16.0
57,1373,17.0
58,1382,9.0
59,1398,16.0
60,1423,25.0
61,1438,15.0
62,1452,14.0
63,1531,79.0
64,1552,21.0
65,1567,15.0
66,1587,20.0
67,1606,19.0
68,1620,14.0
69,1635,15.0
70,1664,29.0
71,1673,9.0
72,1693,20.0
73,1722,29.0
74,1738,16.0
75,1766,28.0
76,1816,50.0
77,1835,19.0
78,1861,26.0
79,1877,16.0
80,1899,22.0
81,1923,24.0
82,1933,10.0
83,1960,27.0
84,1993,33.0
85,2003,10.0
86,2019,16.0
87,2031,12.0
88,2044,13.0
89,2076,32.0
90,2148,72.0
91,2165,17.0
92,2175,10.0
93,2202,27.0
94,2257,55.0
95,2312,55.0
96,2332,20.0
97,2350,18.0
98,2370,20.0
99,2388,18.0
100,2412,24.0
101,2423,11.0
102,2443,20.0
103,2505,62.0
104,2517,12.0
105,2566,49.0
106,2580,14.0
107,2595,15.0
108,2622,27.0
109,2648,26.0
110,2688,40.0
111,2722,34.0
112,2762,40.0
113,2785,23.0
114,2821,36.0
115,2866,45.0
116,2923,57.0
117,2950,27.0
118,2976,26.0
119,2998,22.0
120,3044,46.0
121,3069,25.0
122,3087,18.0
123,3121,34.0
124,3141,20.0
125,3197,56.0
126,3277,80.0
127,3318,41.0
128,3340,22.0
129,3358,18.0
130,3389,31.0
131,3413,24.0
132,3428,15.0
133,3452,24.0
134,3478,26.0
135,3499,21.0
136,3524,25.0
137,3538,14.0
138,3551,13.0
139,3574,23.0
140,3612,38.0
141,3636,24.0
142,3671,35.0
143,3714,43.0
144,3746,32.0
145,3776,30.0
146,3797,21.0
147,3863,66.0
148,3881,18.0
149,3901,20.0
150,3933,32.0
151,3967,34.0
152,4029,62.0
153,4064,35.0
154,4085,21.0
155,4104,19.0
156,4116,12.0
157,4145,29.0
158,4253,108.0
159,4300,47.0
160,4354,54.0
161,4383,29.0
162,4408,25.0
163,4423,15.0
164,4530,107.0
165,4549,19.0
166,4573,24.0
167,4592,19.0
168,4639,47.0
169,4700,61.0
170,4722,22.0
171,4767,45.0
172,4780,13.0
173,4824,44.0
174,4955,131.0
175,5011,56.0
176,5050,39.0
177,5072,22.0
178,5116,44.0
179,5137,21.0
180,5165,28.0
181,5195,30.0
182,5237,42.0
183,5323,86.0
184,5335,12.0
185,5355,20.0
186,5368,13.0
187,5391,23.0
188,5504,113.0
189,5520,16.0
190,5669,149.0
191,5691,22.0
192,5703,12.0
193,5729,26.0
194,5769,40.0
195,5792,23.0
196,5838,46.0
197,5848,10.0
198,5897,49.0
199,5909,12.0
200,5926,17.0
201,5941,15.0
202,6005,64.0
203,6030,25.0
204,6051,21.0
205,6068,17.0
206,6091,23.0
207,6108,17.0
208,6140,32.0
209,6158,18.0
210,6181,23.0
211,6204,23.0
212,6281,77.0
213,6312,31.0
214,6336,24.0
215,6388,52.0
216,6438,50.0
217,6476,38.0
218,6529,53.0
219,6556,27.0
220,6616,60.0
221,6645,29.0
222,6668,23.0
223,6703,35.0
224,6727,24.0
225,6799,72.0
226,6837,38.0
227,6867,30.0
228,6892,25.0
229,6911,19.0
230,6993,82.0
231,7036,43.0
232,7073,37.0
233,7152,79.0
234,7194,42.0
235,7209,15.0
236,7250,41.0
237,7276,26.0
238,7304,28.0
239,7335,31.0
240,7402,67.0
241,7418,16.0
242,7495,77.0
243,7521,26.0
244,7548,27.0
245,7605,57.0
246,7653,48.0
247,7675,22.0
248,7700,25.0
249,7728,28.0
250,7755,27.0
251,7772,17.0
252,7803,31.0
253,7821,18.0
254,7850,29.0
255,7889,39.0
256,7910,21.0
257,7928,18.0
258,7946,18.0
259,8004,58.0
260,8016,12.0
261,8030,14.0
262,8043,13.0
263,8074,31.0
264,8110,36.0
265,8157,47.0
266,8186,29.0
267,8205,19.0
268,8224,19.0
