update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-8.988612,47.211051,0.687743,0.005477,0.0776
2,4096,-9.591267,48.700640,0.678410,0.001653,0.0063
3,6144,-9.781821,47.096171,0.672422,0.000314,0.0012
4,8192,-8.030300,35.871726,0.671614,0.002971,0.0134
5,10240,-4.998862,28.340285,0.670195,0.010661,0.0968
6,12288,-2.389507,29.055953,0.647286,0.017029,0.1487
7,14336,-3.173032,32.190246,0.639925,0.007243,0.0727
8,16384,-4.130854,40.973637,0.640796,0.005334,0.0344
9,18432,-4.441349,47.488678,0.653679,0.005925,0.0414
10,20480,0.443213,45.456309,0.576642,0.034231,0.2561
11,22528,-7.884000,41.411543,0.616922,0.005489,0.0521
12,24576,-2.889307,50.515382,0.625243,0.002383,0.0196
13,26624,-4.171731,51.848941,0.619968,0.003351,0.0218
14,28672,-4.420475,50.803062,0.622437,0.002661,0.0154
15,30720,-2.777273,57.256901,0.607294,0.008645,0.0716
16,32768,-6.045588,48.840728,0.637607,0.007891,0.0701
17,34816,0.681916,65.996802,0.574915,0.027976,0.1842
18,36864,-4.261128,47.036324,0.601280,0.010065,0.0907
19,38912,-2.020520,55.340942,0.596854,0.011562,0.1212
20,40960,-3.813708,44.031396,0.598618,0.006427,0.0666
21,43008,2.333674,75.749948,0.543454,0.047446,0.1902
22,45056,-5.664437,35.397832,0.599087,0.015888,0.1317
23,47104,-2.149750,50.123395,0.592102,0.007553,0.0625
24,49152,-2.069195,44.251054,0.584358,0.006086,0.0628
25,51200,-2.641247,38.981618,0.592534,0.003193,0.0246
26,53248,-0.593066,51.024972,0.570639,0.011668,0.1268
27,55296,-2.807986,42.344874,0.598705,0.007221,0.0510
28,57344,-1.839987,40.164077,0.576575,0.025297,0.1877
29,59392,-1.425478,43.057688,0.582853,0.033151,0.2185
30,61440,-3.324493,31.130967,0.589327,0.013622,0.1000
31,63488,3.131059,80.110503,0.526328,0.056747,0.2179
32,65536,-3.906893,18.816328,0.584377,0.012720,0.1010
33,67584,-2.004530,34.636328,0.577697,0.005274,0.0607
34,69632,-1.483701,43.575079,0.567424,0.003826,0.0249
35,71680,-2.105388,20.604736,0.569759,0.006824,0.0874
36,73728,-0.024558,52.819729,0.536799,0.017674,0.1142
37,75776,-3.136165,14.453923,0.580729,0.011241,0.1002
38,77824,-0.963436,42.659730,0.568738,0.014379,0.1104
39,79872,-1.986772,27.926173,0.576537,0.024753,0.1462
40,81920,-0.841145,44.388110,0.557738,0.009165,0.0520
41,83968,-1.891613,26.086382,0.572069,0.010389,0.0875
42,86016,1.884278,74.853293,0.528181,0.031405,0.2193
43,88064,-4.140639,10.175236,0.576036,0.017276,0.1264
44,90112,0.551044,60.019206,0.523043,0.020693,0.1758
45,92160,-3.074052,8.052294,0.577669,0.014422,0.1213
46,94208,3.203221,87.595384,0.509587,0.041681,0.2419
47,96256,-1.552445,7.649040,0.559598,0.012614,0.1129
48,98304,2.776722,69.078870,0.530779,0.019316,0.1455
49,100352,-1.380330,14.555316,0.564678,0.007062,0.0562
50,102400,-0.321404,36.584237,0.548455,0.012104,0.1098
51,104448,-0.842864,12.443091,0.577414,0.007204,0.0649
52,106496,-0.275817,37.733887,0.569018,0.025163,0.1492
53,108544,-1.339428,26.593372,0.560143,0.016151,0.1371
54,110592,1.692658,69.744833,0.548164,0.019879,0.1351
55,112640,-1.331147,13.736974,0.549867,0.012470,0.1273
56,114688,-1.263423,22.391811,0.554633,0.007799,0.0869
57,116736,0.484698,49.339245,0.537170,0.012293,0.0764
58,118784,-1.306073,14.167363,0.556795,0.016004,0.1330
59,120832,-2.864663,7.804107,0.563902,0.007910,0.0912
60,122880,4.572085,107.644748,0.523249,0.032651,0.2015
61,124928,-0.905310,5.123247,0.569175,0.005923,0.0578
62,126976,-1.756089,14.755846,0.605419,0.005103,0.0551
63,129024,1.508632,51.653245,0.527819,0.016262,0.1219
64,131072,-1.700451,3.426056,0.595105,0.013145,0.1358
65,133120,0.015210,57.332219,0.563595,0.007827,0.0612
66,135168,-2.755129,17.384732,0.571990,0.004740,0.0510
67,137216,-0.487232,22.868777,0.552581,0.009178,0.0833
68,139264,-1.971956,14.750550,0.604921,0.003895,0.0361
69,141312,-1.639992,23.949252,0.606849,0.008324,0.0708
70,143360,3.643483,97.722142,0.536046,0.025214,0.1778
71,145408,0.114773,25.063964,0.557906,0.012358,0.1229
72,147456,-1.494906,2.651019,0.599893,0.012419,0.1193
73,149504,3.478072,103.160989,0.555869,0.020660,0.1009
74,151552,-1.726540,27.144992,0.596465,0.014861,0.1171
75,153600,-1.486651,23.974651,0.553876,0.008164,0.0533
76,155648,0.455643,17.476527,0.553641,0.002429,0.0203
77,157696,0.623479,16.488297,0.578571,0.004212,0.0453
78,159744,2.291476,57.592860,0.538150,0.014497,0.1041
79,161792,-1.092470,2.667497,0.595976,0.009529,0.0888
80,163840,0.816044,38.922052,0.537094,0.012396,0.1281
81,165888,-1.150319,2.556261,0.597098,0.013824,0.1332
82,167936,-0.534265,27.707143,0.537893,0.005254,0.0574
83,169984,-1.047941,2.771344,0.569540,0.008389,0.0997
84,172032,6.129384,140.293065,0.484408,0.042781,0.1771
85,174080,-1.431285,2.704067,0.588471,0.022673,0.1869
86,176128,-1.680196,14.990817,0.579216,0.004949,0.0455
87,178176,-1.019863,39.884242,0.568175,0.007072,0.0528
88,180224,-1.220833,3.559378,0.600312,0.008895,0.0770
89,182272,0.209946,44.991007,0.538190,0.011510,0.0905
90,184320,-1.077176,3.368426,0.570990,0.012427,0.1137
91,186368,2.153554,79.690665,0.515690,0.019557,0.1420
92,188416,-2.382919,1.858062,0.615544,0.015980,0.1389
93,190464,0.103965,45.463363,0.559745,0.005800,0.0563
94,192512,-1.570760,2.889467,0.605269,0.010597,0.1035
95,194560,7.221806,160.083308,0.544276,0.058546,0.2369
96,196608,0.313223,4.481030,0.576042,0.008103,0.0731
97,198656,2.044929,3.809467,0.576127,0.007942,0.0894
98,200704,5.052726,89.696329,0.517976,0.061732,0.3122
99,202752,1.570077,5.466063,0.565684,0.007864,0.0774
100,204800,-0.971655,10.556706,0.571286,0.004218,0.0410
101,206848,-1.144632,5.126499,0.594449,0.005285,0.0542
102,208896,2.866574,99.186643,0.553051,0.028757,0.2040
103,210944,0.577202,5.313793,0.587589,0.009505,0.0886
104,212992,2.203614,56.034772,0.534475,0.030929,0.1832
105,215040,1.419393,31.373541,0.549475,0.005398,0.0472
106,217088,0.347244,3.765792,0.572867,0.010064,0.1223
107,219136,1.564078,41.300077,0.540989,0.012188,0.0795
108,221184,-1.327178,3.420959,0.547513,0.005622,0.0710
109,223232,-2.488719,2.663700,0.562321,0.005333,0.0561
110,225280,-1.675263,12.384510,0.584779,0.006723,0.0682
111,227328,-0.524591,29.149827,0.599725,0.007036,0.0536
112,229376,-1.427812,16.147036,0.602235,0.008366,0.0726
113,231424,0.181801,41.677032,0.575989,0.013418,0.0844
114,233472,1.739038,69.167134,0.534683,0.044933,0.2194
115,235520,-0.799785,2.481287,0.604488,0.014522,0.2095
116,237568,4.059225,54.617144,0.524472,0.013538,0.0888
117,239616,0.213885,2.350231,0.579169,0.008338,0.0939
118,241664,2.684291,56.058031,0.526648,0.016131,0.1319
119,243712,-0.929959,1.760100,0.561077,0.013447,0.1387
120,245760,0.438381,44.888511,0.548275,0.011375,0.0849
121,247808,-2.039621,1.603695,0.606002,0.015118,0.0799
122,249856,2.736219,95.427694,0.531926,0.027285,0.1359
123,251904,-0.329254,2.647466,0.565228,0.008089,0.0787
124,253952,-1.611642,0.858979,0.618741,0.006838,0.0514
125,256000,-0.036875,32.642531,0.572906,0.005802,0.0499
126,258048,0.578848,36.704711,0.570066,0.003036,0.0197
127,260096,-0.798777,17.021231,0.603690,0.013628,0.1321
128,262144,-1.321060,0.976116,0.614418,0.012164,0.1203
129,264192,-0.976086,14.704197,0.593277,0.003769,0.0333
130,266240,4.126675,104.307022,0.537745,0.047575,0.2878
131,268288,5.064890,8.087673,0.539783,0.008948,0.1016
132,270336,4.160544,3.735753,0.540285,0.008263,0.1037
133,272384,3.277424,3.667832,0.520324,0.010322,0.1536
134,274432,3.264518,31.356296,0.518570,0.013299,0.1915
135,276480,1.442862,2.842175,0.518459,0.016202,0.2313
136,278528,-0.442719,4.422852,0.524948,0.008538,0.1289
137,280576,-2.691749,14.983427,0.520518,0.008398,0.0956
138,282624,-2.098291,0.809113,0.573587,0.003749,0.0389
139,284672,-1.706292,0.409721,0.581578,0.002693,0.0250
140,286720,-1.277537,0.303665,0.593011,0.003204,0.0276
141,288768,-1.092632,0.236888,0.604094,0.002535,0.0186
142,290816,0.513497,32.346222,0.559221,0.014202,0.1121
143,292864,-1.008012,0.377483,0.581512,0.007070,0.0691
144,294912,-0.832102,0.159610,0.569119,0.002349,0.0208
145,296960,-0.676034,0.101375,0.596657,0.000876,0.0053
146,299008,1.681400,47.529808,0.527116,0.029541,0.2646
147,301056,-0.758817,0.103084,0.572320,0.002588,0.0261
148,303104,-0.673917,0.074719,0.569907,0.002295,0.0159
149,305152,-0.518933,0.077337,0.575909,0.001917,0.0143
150,307200,-0.409571,0.067035,0.577917,0.006263,0.0668
151,309248,-0.329446,0.080083,0.573649,0.002281,0.0037
152,311296,0.512097,18.819057,0.552846,0.007080,0.0699
153,313344,-0.316551,0.057992,0.570962,0.002996,0.0267
154,315392,-0.252137,0.078418,0.574077,0.000827,0.0029
155,317440,-0.214112,0.045207,0.563722,0.009112,0.1505
156,319488,-0.199550,0.050267,0.570825,0.001769,0.0029
