episode,step,return
1,13,13.0
2,40,27.0
3,52,12.0
4,76,24.0
5,98,22.0
6,116,18.0
7,135,19.0
8,147,12.0
9,160,13.0
10,197,37.0
11,228,31.0
12,269,41.0
13,284,15.0
14,298,14.0
15,317,19.0
16,330,13.0
17,340,10.0
18,349,9.0
19,367,18.0
20,424,57.0
21,441,17.0
22,458,17.0
23,477,19.0
24,508,31.0
25,522,14.0
26,539,17.0
27,551,12.0
28,594,43.0
29,609,15.0
30,621,12.0
31,649,28.0
32,664,15.0
33,677,13.0
34,688,11.0
35,741,53.0
36,754,13.0
37,764,10.0
38,780,16.0
39,800,20.0
40,839,39.0
41,851,12.0
42,866,15.0
43,883,17.0
44,895,12.0
45,922,27.0
46,941,19.0
47,962,21.0
48,977,15.0
49,1001,24.0
50,1055,54.0
51,1089,34.0
52,1103,14.0
53,1112,9.0
54,1137,25.0
55,1154,17.0
56,1193,39.0
57,1211,18.0
58,1222,11.0
59,1231,9.0
60,1257,26.0
61,1290,33.0
62,1323,33.0
63,1332,9.0
64,1347,15.0
65,1357,10.0
66,1368,11.0
67,1438,70.0
68,1456,18.0
69,1501,45.0
70,1511,10.0
71,1525,14.0
72,1570,45.0
73,1586,16.0
74,1598,12.0
75,1628,30.0
76,1648,20.0
77,1657,9.0
78,1717,60.0
79,1737,20.0
80,1760,23.0
81,1780,20.0
82,1796,16.0
83,1815,19.0
84,1837,22.0
85,1855,18.0
86,1864,9.0
87,1893,29.0
88,1910,17.0
89,1937,27.0
90,1947,10.0
91,1964,17.0
92,1977,13.0
93,1990,13.0
94,2012,22.0
95,2040,28.0
96,2054,14.0
97,2082,28.0
98,2141,59.0
99,2182,41.0
100,2203,21.0
101,2234,31.0
102,2253,19.0
103,2267,14.0
104,2289,22.0
105,2307,18.0
106,2345,38.0
107,2404,59.0
108,2440,36.0
109,2480,40.0
110,2514,34.0
111,2530,16.0
112,2545,15.0
113,2564,19.0
114,2589,25.0
115,2674,85.0
116,2695,21.0
117,2719,24.0
118,2736,17.0
119,2760,24.0
120,2778,18.0
121,2814,36.0
122,2828,14.0
123,2846,18.0
124,2905,59.0
125,2970,65.0
126,2988,18.0
127,3001,13.0
128,3044,43.0
129,3068,24.0
130,3151,83.0
131,3198,47.0
132,3276,78.0
133,3288,12.0
134,3348,60.0
135,3373,25.0
136,3415,42.0
137,3440,25.0
138,3455,15.0
139,3496,41.0
140,3510,14.0
141,3540,30.0
142,3555,15.0
143,3568,13.0
144,3592,24.0
145,3607,15.0
146,3643,36.0
147,3701,58.0
148,3753,52.0
149,3765,12.0
150,3800,35.0
151,3826,26.0
152,3848,22.0
153,3875,27.0
154,3891,16.0
155,3901,10.0
156,3953,52.0
157,3999,46.0
158,4024,25.0
159,4036,12.0
160,4090,54.0
161,4126,36.0
162,4142,16.0
163,4160,18.0
164,4180,20.0
165,4221,41.0
166,4246,25.0
167,4279,33.0
168,4289,10.0
169,4341,52.0
170,4365,24.0
171,4383,18.0
172,4398,15.0
173,4410,12.0
174,4428,18.0
175,4462,34.0
176,4475,13.0
177,4503,28.0
178,4520,17.0
179,4550,30.0
180,4597,47.0
