update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.020955,42.771248,0.684253,0.009059,0.1401
2,4096,-0.005642,52.020968,0.672040,0.000587,0.0001
3,6144,0.001101,41.418123,0.671565,0.000424,0.0000
4,8192,-0.001307,32.281189,0.657781,0.025871,0.4046
5,10240,-0.124731,9.389042,0.428562,0.621769,0.8748
6,12288,-0.007816,22.993027,0.234547,0.097913,0.1389
7,14336,-0.288202,2.913635,0.331717,1.062622,0.8409
8,16384,-0.030029,8.506887,0.365666,0.594839,0.4401
9,18432,-0.095582,5.834571,0.423504,0.323395,0.7125
10,20480,0.012610,41.873205,0.634440,0.012306,0.1160
11,22528,-0.022403,35.361598,0.619214,0.049641,0.4793
12,24576,-0.060507,20.777478,0.529143,0.163638,0.4748
13,26624,-0.005021,43.828818,0.616871,0.014334,0.1972
14,28672,-0.030037,39.869972,0.576239,0.103681,0.6174
15,30720,-0.063212,29.114028,0.513161,0.177190,0.4587
16,32768,-0.006662,43.763409,0.594631,0.014326,0.1784
17,34816,-0.000858,45.146518,0.620766,0.016162,0.2206
18,36864,-0.064283,37.883525,0.516586,0.133821,0.4632
19,38912,-0.076939,44.845622,0.481902,0.199071,0.6570
20,40960,-0.066233,36.423398,0.453448,0.132842,0.4354
21,43008,-0.002567,48.492178,0.601903,0.016427,0.1165
22,45056,0.000255,47.245173,0.620224,0.019301,0.2282
23,47104,-0.064482,56.600977,0.485999,0.198016,0.5577
24,49152,-0.060613,45.790191,0.495612,0.127119,0.4376
25,51200,0.005101,49.619249,0.602330,0.019388,0.2030
26,53248,0.012068,50.306048,0.637747,0.008137,0.0775
27,55296,-0.006919,55.489017,0.618049,0.008932,0.0750
28,57344,-0.053295,57.999218,0.523544,0.102290,0.5749
29,59392,-0.067346,80.793609,0.431361,0.226934,0.4872
30,61440,0.011944,40.242156,0.593826,0.010285,0.0864
31,63488,-0.022133,41.518712,0.569033,0.077036,0.5206
32,65536,-0.053208,106.121344,0.436770,0.190470,0.3890
33,67584,0.007568,38.016578,0.560418,0.039920,0.3126
34,69632,-0.028915,42.779216,0.540606,0.080972,0.4377
35,71680,-0.070726,128.557374,0.340457,0.436487,0.3923
36,73728,-0.005909,33.603364,0.538351,0.024035,0.2276
37,75776,-0.047204,45.905590,0.471675,0.169384,0.6735
38,77824,-0.064273,151.476172,0.352998,0.321311,0.4560
39,79872,0.025449,22.661057,0.542628,0.041964,0.3183
40,81920,-0.058375,48.675273,0.464231,0.234308,0.6556
41,83968,-0.081148,166.381863,0.346308,0.416671,0.4139
42,86016,0.009950,17.048133,0.557425,0.049819,0.3912
43,88064,-0.085196,50.412628,0.417571,0.240166,0.6770
44,90112,-0.059133,120.210070,0.358653,0.258020,0.3845
45,92160,0.003380,18.051898,0.496258,0.059179,0.3908
46,94208,-0.013523,24.914917,0.475396,0.126690,0.3556
47,96256,-0.086412,102.004130,0.304502,0.310681,0.3912
48,98304,0.024833,14.670601,0.520040,0.094484,0.4907
49,100352,-0.046082,33.027667,0.449301,0.180210,0.4112
50,102400,-0.068650,173.015539,0.326057,0.316140,0.4100
51,104448,0.018605,15.573170,0.508778,0.049986,0.3533
52,106496,-0.069345,71.127388,0.405555,0.215166,0.5734
53,108544,-0.006655,17.203194,0.560675,0.041730,0.3230
54,110592,-0.006167,16.878565,0.561364,0.051308,0.3328
55,112640,-0.040874,133.418024,0.451387,0.124687,0.2775
56,114688,0.003700,18.282912,0.567222,0.011219,0.1283
57,116736,-0.039330,92.956720,0.525981,0.103126,0.3246
58,118784,-0.028029,33.681894,0.479037,0.183742,0.6187
59,120832,-0.028761,32.979770,0.473529,0.115890,0.4377
60,122880,-0.047395,62.286813,0.460077,0.093446,0.3322
61,124928,-0.007597,8.553603,0.553641,0.073146,0.3531
62,126976,-0.001424,24.231049,0.490148,0.107895,0.3602
63,129024,-0.094337,320.742914,0.266020,0.590857,0.3754
64,131072,-0.020784,41.769432,0.458953,0.092548,0.3937
65,133120,0.004505,17.572438,0.578979,0.029661,0.2034
66,135168,-0.023659,63.578281,0.514244,0.081237,0.4417
67,137216,-0.045508,45.808643,0.463353,0.148247,0.5493
68,139264,-0.052613,145.806849,0.392102,0.189865,0.3653
69,141312,0.003901,15.661851,0.548600,0.027700,0.2071
70,143360,0.006358,26.296863,0.546823,0.058077,0.3990
71,145408,-0.016471,49.007572,0.483263,0.029852,0.2596
72,147456,-0.003202,31.708739,0.462015,0.177169,0.5542
73,149504,0.004915,16.053189,0.518012,0.028943,0.2710
74,151552,-0.033805,55.751856,0.494965,0.123801,0.5343
75,153600,-0.005409,79.804719,0.504284,0.044794,0.2549
76,155648,0.013278,21.367355,0.535004,0.052750,0.3102
77,157696,0.002678,42.251817,0.582253,0.063976,0.3316
78,159744,0.000151,50.498358,0.614113,0.020056,0.2704
79,161792,-0.057893,269.289029,0.460967,0.165441,0.3371
80,163840,0.018962,20.101800,0.606017,0.040794,0.3062
81,165888,-0.051298,141.393779,0.384763,0.232701,0.4056
82,167936,0.006520,12.918601,0.449002,0.146998,0.3966
83,169984,-0.002910,23.328334,0.526950,0.084256,0.4117
84,172032,-0.063322,229.538179,0.405066,0.222084,0.3839
85,174080,0.000985,43.647551,0.579756,0.073169,0.4366
86,176128,-0.001749,55.764080,0.525419,0.062167,0.2809
87,178176,-0.010311,49.710180,0.558938,0.090571,0.4961
88,180224,-0.047356,131.270443,0.442769,0.158391,0.4752
89,182272,0.024818,11.887007,0.643738,0.029427,0.2879
90,184320,0.009473,119.802956,0.501178,0.070084,0.2193
91,186368,-0.017696,77.449438,0.540733,0.061529,0.2068
92,188416,-0.009769,42.259384,0.579149,0.042660,0.3609
93,190464,0.010850,10.079651,0.603526,0.053153,0.3818
94,192512,-0.017625,89.619727,0.558067,0.037889,0.2313
95,194560,-0.026909,79.423909,0.477138,0.222625,0.5691
96,196608,-0.023265,65.904842,0.560133,0.078383,0.3846
97,198656,-0.019388,137.137089,0.504205,0.089469,0.3058
98,200704,0.010805,19.095648,0.607332,0.046096,0.3893
99,202752,-0.006057,16.854093,0.525876,0.185736,0.4498
100,204800,-0.080521,587.520293,0.247576,0.525104,0.3330
101,206848,0.027567,15.476110,0.533510,0.130231,0.5294
102,208896,0.017703,28.822553,0.608825,0.050092,0.4555
103,210944,-0.036537,41.807080,0.532512,0.151558,0.4149
104,212992,-0.041496,161.247350,0.466931,0.091167,0.2115
105,215040,0.013613,6.456471,0.543907,0.186396,0.4719
106,217088,0.002532,38.642795,0.488343,0.096472,0.5325
107,219136,-0.001372,82.037252,0.536584,0.058741,0.3590
108,221184,-0.062332,369.258395,0.257509,0.527757,0.4042
109,223232,0.019982,11.182904,0.524524,0.130749,0.5250
110,225280,0.014224,15.428314,0.621040,0.039282,0.3525
111,227328,-0.028668,156.928023,0.555724,0.085263,0.1415
112,229376,0.002022,55.963954,0.582913,0.038357,0.1805
113,231424,0.001999,47.693151,0.585324,0.021406,0.1610
114,233472,-0.028219,92.076756,0.532076,0.022876,0.1231
115,235520,0.007764,21.557390,0.608954,0.050671,0.3315
116,237568,-0.054063,309.710802,0.407493,0.176409,0.3970
117,239616,0.020031,8.425760,0.607444,0.041492,0.2656
118,241664,-0.054687,325.566596,0.434253,0.251469,0.3195
119,243712,0.016199,14.665652,0.623434,0.045659,0.3530
120,245760,0.012817,36.403901,0.564536,0.046210,0.2701
121,247808,-0.016676,60.901343,0.512345,0.062044,0.2767
122,249856,-0.053550,252.807973,0.387124,0.180952,0.3651
123,251904,0.019081,6.350649,0.575409,0.093859,0.3657
124,253952,-0.088499,356.500286,0.272793,0.555912,0.3640
125,256000,0.026980,11.940906,0.555860,0.046621,0.4187
126,258048,0.000609,35.423116,0.596352,0.014965,0.1372
127,260096,0.012534,5.332785,0.582865,0.109303,0.3954
128,262144,-0.053686,779.986601,0.225861,0.537551,0.2838
129,264192,0.017884,27.024712,0.475213,0.176491,0.5838
130,266240,-0.001584,82.285609,0.497066,0.044259,0.3547
131,268288,-0.062606,299.122896,0.339894,0.322121,0.3410
132,270336,0.011615,6.909956,0.585365,0.023981,0.2376
133,272384,-0.006206,52.015560,0.563293,0.046349,0.3598
134,274432,-0.000922,33.191913,0.513685,0.024416,0.1806
135,276480,-0.029471,201.052612,0.402976,0.110174,0.4057
136,278528,0.033382,5.832870,0.588744,0.056464,0.4141
137,280576,-0.042051,268.462123,0.473612,0.170399,0.2247
138,282624,0.022582,6.954867,0.598686,0.074582,0.3391
139,284672,-0.030093,705.758041,0.249469,0.460028,0.2748
140,286720,0.024134,6.999031,0.527700,0.101178,0.5212
141,288768,-0.015114,107.927374,0.517345,0.091541,0.6540
142,290816,-0.009732,45.700668,0.582441,0.022971,0.1627
143,292864,-0.033601,104.591992,0.538399,0.078565,0.4306
144,294912,0.018803,14.134078,0.604106,0.029715,0.1935
145,296960,-0.016525,117.126342,0.500236,0.040511,0.1290
146,299008,0.041307,12.124862,0.559492,0.116762,0.4771
147,301056,-0.055795,311.605615,0.362363,0.247064,0.4021
148,303104,0.022641,5.425683,0.561285,0.103251,0.5368
149,305152,0.009217,123.013836,0.482235,0.055256,0.3969
150,307200,-0.024609,91.491497,0.476255,0.100912,0.3797
151,309248,-0.013773,44.159840,0.543115,0.037379,0.1806
152,311296,-0.016895,100.458822,0.461039,0.023143,0.1884
153,313344,0.021930,39.171266,0.519551,0.042176,0.2047
154,315392,-0.019461,69.375228,0.509269,0.036883,0.2518
155,317440,0.002388,28.658880,0.586797,0.014938,0.1859
156,319488,-0.020591,62.162816,0.506771,0.089813,0.2569
157,321536,-0.012232,74.704237,0.535681,0.051364,0.2180
158,323584,0.000001,42.784344,0.548769,0.048321,0.2158
159,325632,-0.034837,86.270489,0.520443,0.056473,0.1973
160,327680,-0.020144,91.208761,0.525013,0.073501,0.2069
161,329728,-0.005552,38.309140,0.594240,0.023255,0.1904
162,331776,0.012668,34.220949,0.582252,0.007396,0.0444
163,333824,-0.042427,79.105900,0.531104,0.075846,0.4157
164,335872,0.011381,13.921437,0.597856,0.025425,0.3078
165,337920,-0.017517,108.969859,0.485735,0.041361,0.2343
166,339968,0.019786,14.878841,0.582407,0.015741,0.1723
167,342016,-0.054472,584.605268,0.376419,0.375422,0.2673
168,344064,-0.023164,41.007104,0.547092,0.092405,0.4593
169,346112,-0.007478,103.419208,0.490895,0.120731,0.4238
170,348160,-0.005760,38.511260,0.596124,0.030308,0.2243
171,350208,-0.000476,22.745803,0.531963,0.033292,0.2606
172,352256,-0.025474,97.765056,0.520303,0.022399,0.1065
173,354304,0.019542,4.746172,0.601099,0.062467,0.3578
174,356352,-0.019827,27.426698,0.569273,0.049481,0.3175
175,358400,-0.015569,89.813320,0.516490,0.046942,0.2057
176,360448,0.020730,26.537697,0.617705,0.042799,0.3770
177,362496,-0.018506,106.909155,0.493542,0.067667,0.2631
178,364544,-0.003896,12.140211,0.503692,0.098823,0.3860
179,366592,-0.028033,245.800509,0.407804,0.155628,0.3552
180,368640,0.030931,14.375211,0.599638,0.030871,0.2830
181,370688,-0.021033,52.176962,0.515480,0.045517,0.1975
182,372736,0.028675,16.347454,0.617304,0.018729,0.1644
183,374784,-0.023355,100.158750,0.506631,0.030571,0.1415
184,376832,-0.003163,51.036972,0.576092,0.007224,0.0634
185,378880,-0.014395,68.490391,0.568600,0.012468,0.0541
186,380928,0.008048,24.657927,0.618357,0.019371,0.1486
187,382976,-0.030874,207.315622,0.497839,0.102714,0.2879
188,385024,0.001726,5.779650,0.560210,0.037396,0.2637
189,387072,0.007723,38.162525,0.554266,0.023929,0.2435
190,389120,-0.021819,131.045242,0.477000,0.058250,0.1521
191,391168,0.010656,3.979060,0.613192,0.050590,0.2483
192,393216,-0.040069,313.568549,0.439720,0.185079,0.4918
193,395264,-0.001232,27.302159,0.541927,0.036109,0.3613
194,397312,0.013583,35.598557,0.549519,0.015471,0.1482
195,399360,0.030293,2.958872,0.571024,0.113529,0.4411
196,401408,-0.051710,658.831163,0.334920,0.564084,0.2572
197,403456,-0.005182,4.548742,0.488119,0.079460,0.2693
198,405504,-0.035744,796.398032,0.282823,0.543244,0.3235
199,407552,-0.007480,86.417472,0.417953,0.107834,0.3462
200,409600,-0.043443,141.283982,0.327584,0.305647,0.4300
201,411648,-0.000157,33.834382,0.396741,0.400024,0.4933
202,413696,-0.009711,21.369431,0.475416,0.106137,0.2847
203,415744,-0.015661,39.670310,0.459345,0.042060,0.3407
204,417792,-0.016621,36.543645,0.491777,0.031319,0.2258
205,419840,-0.010426,31.307852,0.497450,0.033676,0.3175
206,421888,0.001693,4.021441,0.563552,0.044480,0.2844
207,423936,-0.014676,86.110305,0.455876,0.041561,0.1423
208,425984,-0.000365,15.577672,0.506643,0.018450,0.2096
209,428032,-0.004504,5.895254,0.486653,0.116800,0.4408
210,430080,-0.006337,21.473533,0.506842,0.070215,0.2907
211,432128,-0.022073,211.607961,0.463188,0.129312,0.2086
212,434176,-0.003183,14.154821,0.423589,0.175740,0.3903
213,436224,0.005639,11.012586,0.521414,0.028194,0.1728
214,438272,-0.015252,24.845399,0.495227,0.069248,0.4505
215,440320,-0.007994,25.010573,0.454424,0.099004,0.4051
216,442368,-0.002030,6.711185,0.535745,0.048344,0.2250
217,444416,0.002006,15.979248,0.524901,0.053954,0.3926
218,446464,-0.009035,130.985676,0.482610,0.060955,0.2272
219,448512,0.003086,34.238113,0.485617,0.048991,0.1504
220,450560,0.003210,10.198942,0.518609,0.024914,0.1949
221,452608,-0.006400,75.514772,0.530473,0.028991,0.1896
222,454656,-0.012354,70.047866,0.458087,0.032549,0.1707
223,456704,-0.005761,12.246342,0.519635,0.022977,0.1419
224,458752,0.003689,16.685264,0.543876,0.087170,0.4535
225,460800,-0.027523,358.465869,0.384174,0.272336,0.2181
226,462848,0.012419,3.853795,0.505843,0.219638,0.5221
227,464896,-0.085551,1028.286369,0.146475,0.543069,0.2635
228,466944,-0.001059,8.672576,0.424126,0.109969,0.3383
229,468992,-0.035167,3.749923,0.462937,0.159703,0.4475
230,471040,-0.004322,5.375325,0.496957,0.059940,0.3501
231,473088,-0.044899,280.500148,0.357403,0.311798,0.4316
232,475136,0.019130,5.346876,0.541858,0.147049,0.5057
233,477184,-0.008847,504.143631,0.321571,0.194487,0.3516
234,479232,0.037712,5.604117,0.418446,0.194786,0.5570
235,481280,0.005274,50.622317,0.485999,0.041665,0.3200
236,483328,-0.037719,139.168772,0.440934,0.088051,0.3798
237,485376,0.004536,13.156977,0.498439,0.014725,0.1375
238,487424,-0.001403,4.001604,0.513820,0.053429,0.3039
239,489472,-0.016919,93.545455,0.431775,0.059869,0.2611
240,491520,0.000970,21.786521,0.461621,0.071568,0.2604
241,493568,-0.000492,4.790187,0.581166,0.065342,0.3182
242,495616,0.012755,2.516566,0.553353,0.102175,0.4419
243,497664,-0.045314,1015.032473,0.344598,0.637214,0.2273
244,499712,0.015487,4.497237,0.553063,0.154935,0.4860
245,501760,-0.032740,1213.127043,0.171744,0.520531,0.2485
246,503808,-0.022854,90.119726,0.424640,0.152136,0.4262
247,505856,0.001032,48.660848,0.468588,0.117981,0.5326
248,507904,0.005072,24.617392,0.459535,0.042112,0.2754
249,509952,-0.034176,76.610246,0.406990,0.130015,0.4147
250,512000,0.018389,5.664979,0.529264,0.035886,0.2702
251,514048,-0.021873,21.325619,0.471779,0.147323,0.6229
252,516096,-0.001518,14.049048,0.535476,0.008446,0.0791
253,518144,0.000685,11.412740,0.582994,0.018995,0.2108
254,520192,-0.016330,73.439798,0.530248,0.054444,0.2363
255,522240,-0.019722,32.237955,0.589339,0.039540,0.2547
256,524288,0.001452,33.477768,0.484715,0.079542,0.2256
257,526336,0.009875,17.895905,0.550049,0.052137,0.2440
258,528384,-0.025160,123.075468,0.508742,0.071452,0.1583
259,530432,0.000887,3.309785,0.629914,0.070513,0.2808
260,532480,-0.015946,208.074330,0.491438,0.107603,0.4288
261,534528,0.018221,17.789737,0.599657,0.018574,0.1221
262,536576,-0.038097,352.583357,0.512253,0.109658,0.1548
263,538624,0.034637,7.210327,0.616371,0.035434,0.3034
264,540672,-0.026695,135.316503,0.361986,0.083319,0.2204
265,542720,0.038566,3.087465,0.535718,0.158427,0.5418
266,544768,-0.026346,241.605726,0.381732,0.192034,0.4182
267,546816,0.007096,75.938214,0.491732,0.036846,0.2941
268,548864,0.005274,36.196836,0.476098,0.040622,0.2748
269,550912,-0.055373,154.383375,0.363705,0.231687,0.3969
270,552960,0.004825,12.146290,0.499800,0.016677,0.1783
271,555008,0.002985,15.094153,0.504846,0.006351,0.0553
272,557056,-0.013852,4.173808,0.521606,0.054744,0.2616
273,559104,-0.003140,45.396020,0.600314,0.031389,0.2789
274,561152,-0.008650,35.067827,0.586584,0.021317,0.1271
275,563200,-0.042791,287.913367,0.510969,0.126519,0.1200
276,565248,0.002641,24.598032,0.583302,0.039728,0.2146
277,567296,-0.003361,48.835741,0.570126,0.035155,0.1885
278,569344,-0.026040,69.317854,0.570445,0.076715,0.1208
279,571392,-0.015375,52.625823,0.566412,0.055393,0.2175
280,573440,-0.006149,47.366458,0.548194,0.017886,0.1195
281,575488,-0.016526,85.410616,0.533362,0.018120,0.0946
282,577536,0.017171,12.901328,0.603817,0.028299,0.1747
283,579584,-0.019071,152.755225,0.490054,0.052013,0.1777
284,581632,0.010044,28.605127,0.554244,0.024882,0.1337
285,583680,-0.015361,97.513468,0.519122,0.030647,0.1291
286,585728,-0.003325,56.312196,0.530285,0.018420,0.0841
287,587776,0.001108,46.754831,0.571387,0.023273,0.1949
288,589824,-0.015664,97.025203,0.465604,0.018606,0.1416
289,591872,0.032786,2.995422,0.549306,0.132956,0.4119
290,593920,-0.058483,486.392400,0.307163,0.334256,0.3351
291,595968,0.018600,24.966237,0.561177,0.050792,0.3570
292,598016,-0.005762,71.910989,0.500071,0.009818,0.0697
293,600064,0.020686,23.682033,0.554019,0.018493,0.1697
294,602112,-0.033536,233.548347,0.491005,0.095011,0.1729
295,604160,0.013259,5.231196,0.634129,0.033179,0.1333
296,606208,-0.042488,220.726732,0.480979,0.121533,0.3076
297,608256,0.010041,27.496137,0.605694,0.014251,0.1193
298,610304,0.017317,48.862470,0.588371,0.013365,0.0475
299,612352,-0.016593,79.897711,0.548680,0.010698,0.0553
300,614400,0.043280,2.785557,0.630095,0.053618,0.3718
301,616448,-0.029501,293.161061,0.448617,0.129686,0.2759
302,618496,0.012122,39.201450,0.591313,0.017557,0.1167
303,620544,-0.020239,166.170656,0.463505,0.086792,0.1960
304,622592,0.033212,23.226072,0.557889,0.024455,0.1386
305,624640,-0.021214,207.674600,0.427644,0.084911,0.2626
306,626688,0.034762,6.422134,0.602016,0.024742,0.2119
307,628736,-0.018872,220.104208,0.434421,0.095748,0.2258
308,630784,0.065898,32.658478,0.531759,0.033965,0.2052
309,632832,-0.022177,90.842119,0.439940,0.015097,0.0791
310,634880,0.009462,24.295083,0.578487,0.027478,0.2353
311,636928,-0.030918,112.177966,0.504796,0.048515,0.2401
312,638976,-0.005105,33.107267,0.598472,0.014861,0.0784
313,641024,-0.017188,209.551198,0.541491,0.071141,0.0904
314,643072,0.002962,41.143055,0.564344,0.017749,0.0792
315,645120,-0.001925,64.071674,0.569557,0.007931,0.0489
316,647168,0.007250,28.356742,0.611347,0.014605,0.1194
317,649216,-0.036395,222.984455,0.516815,0.084671,0.1276
318,651264,0.040929,5.810655,0.614710,0.023420,0.1854
319,653312,-0.044469,201.207392,0.467083,0.111957,0.2332
320,655360,0.006505,24.908700,0.598650,0.011807,0.0896
321,657408,0.007446,36.469643,0.602580,0.010858,0.0668
322,659456,-0.000422,61.410020,0.594796,0.011761,0.0775
323,661504,-0.027492,111.264622,0.519788,0.087201,0.1148
