update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.001838,44.823993,0.693056,0.000078,0.0000
2,4096,-0.001289,50.959631,0.692638,0.000053,0.0000
3,6144,-0.001261,50.283024,0.691891,0.000049,0.0000
4,8192,-0.001182,49.762655,0.690737,0.000047,0.0000
5,10240,-0.001065,51.734577,0.689463,0.000038,0.0000
6,12288,-0.000812,62.585274,0.688391,0.000032,0.0000
7,14336,-0.000436,48.293721,0.687078,0.000022,0.0000
8,16384,-0.000846,55.230739,0.685431,0.000018,0.0000
9,18432,-0.001055,49.595331,0.684292,0.000024,0.0000
10,20480,-0.000845,51.967929,0.682648,0.000019,0.0000
11,22528,-0.000661,53.184552,0.682036,0.000014,0.0000
12,24576,-0.000523,56.429439,0.680360,0.000013,0.0000
13,26624,-0.000369,59.757856,0.679782,0.000009,0.0000
14,28672,-0.000473,53.779122,0.677668,0.000007,0.0000
15,30720,-0.000491,57.121605,0.676935,0.000009,0.0000
16,32768,-0.000321,58.238190,0.675674,0.000008,0.0000
17,34816,-0.000361,52.025835,0.676046,0.000004,0.0000
18,36864,-0.000274,50.251397,0.673229,0.000004,0.0000
19,38912,-0.000236,54.970513,0.673096,0.000003,0.0000
20,40960,-0.000117,63.266709,0.676484,0.000001,0.0000
21,43008,-0.000076,57.854878,0.672274,0.000000,0.0000
22,45056,0.000054,52.957745,0.673233,0.000010,0.0000
23,47104,-0.000027,62.650548,0.675640,0.000006,0.0000
24,49152,-0.000028,58.888862,0.675476,0.000003,0.0000
25,51200,0.000039,47.738941,0.672906,0.000001,0.0000
26,53248,0.000221,52.163390,0.675673,0.000004,0.0000
27,55296,0.000145,46.931929,0.673420,0.000002,0.0000
28,57344,0.000141,49.038164,0.674594,0.000001,0.0000
29,59392,0.000247,49.994681,0.674793,0.000002,0.0000
30,61440,0.000194,38.450822,0.672308,0.000010,0.0000
31,63488,0.000252,35.442704,0.673328,0.000003,0.0000
32,65536,-0.000006,50.528782,0.676425,0.000012,0.0000
33,67584,0.000497,42.856317,0.676125,0.000058,0.0000
34,69632,0.000525,44.656094,0.677257,0.000040,0.0000
35,71680,0.000496,38.770758,0.674957,0.000024,0.0000
36,73728,0.000240,33.904289,0.677233,0.000011,0.0000
37,75776,0.000726,42.338268,0.680377,0.000150,0.0000
38,77824,0.000551,33.126090,0.680272,0.000017,0.0000
39,79872,-0.000249,34.540292,0.679924,0.000105,0.0000
40,81920,-0.000091,42.281157,0.681811,0.000451,0.0000
41,83968,0.000513,35.518551,0.681899,0.000021,0.0000
42,86016,-0.001277,29.168947,0.679274,0.000878,0.0000
43,88064,0.002994,35.844943,0.680765,0.000743,0.0000
44,90112,-0.001737,29.136972,0.682371,0.000906,0.0000
45,92160,0.001483,34.048050,0.681685,0.001100,0.0000
46,94208,-0.000635,25.748690,0.681677,0.000105,0.0000
47,96256,-0.001505,29.348080,0.681038,0.002040,0.0000
48,98304,0.000369,33.439593,0.681458,0.000128,0.0000
49,100352,-0.003126,27.906499,0.681927,0.001421,0.0000
50,102400,0.000540,36.484039,0.679372,0.003120,0.0005
51,104448,0.000066,29.921660,0.678229,0.000109,0.0000
52,106496,-0.005115,30.098611,0.682336,0.003172,0.0029
53,108544,0.002350,32.122113,0.678568,0.001180,0.0000
54,110592,-0.005287,30.803851,0.680162,0.003333,0.0024
55,112640,0.000239,31.254618,0.677838,0.001618,0.0000
56,114688,-0.003480,31.880690,0.679404,0.000994,0.0000
57,116736,-0.002303,38.934290,0.677010,0.003263,0.0010
58,118784,0.001426,39.965444,0.676028,0.000174,0.0000
59,120832,-0.006706,31.294058,0.675746,0.003532,0.0098
60,122880,0.000336,32.292473,0.676024,0.000569,0.0000
61,124928,-0.003482,31.450670,0.673173,0.002264,0.0024
62,126976,0.000591,38.753653,0.674754,0.000121,0.0000
63,129024,-0.001868,40.218707,0.672448,0.000557,0.0000
64,131072,-0.000548,37.337427,0.673055,0.000464,0.0000
65,133120,-0.000607,35.677422,0.671872,0.000058,0.0000
66,135168,-0.000160,40.017163,0.669848,0.000790,0.0000
67,137216,-0.000076,36.638894,0.670463,0.000026,0.0000
68,139264,-0.001044,38.192402,0.667634,0.000481,0.0000
69,141312,-0.000777,40.069539,0.667778,0.000555,0.0000
70,143360,-0.000951,35.754740,0.662015,0.000210,0.0000
71,145408,-0.001499,40.026111,0.663016,0.000772,0.0005
72,147456,-0.000731,44.807771,0.662405,0.000192,0.0000
73,149504,-0.002579,37.710670,0.663589,0.000536,0.0000
74,151552,0.000183,44.622482,0.656832,0.001567,0.0000
75,153600,-0.000986,40.233490,0.656201,0.000127,0.0000
76,155648,-0.001418,41.048096,0.656137,0.002398,0.0024
77,157696,-0.000878,40.939505,0.655725,0.000054,0.0000
78,159744,-0.002938,42.714518,0.652414,0.001867,0.0005
79,161792,0.001056,44.073575,0.650575,0.000250,0.0000
80,163840,-0.000274,45.433778,0.658107,0.000314,0.0000
81,165888,-0.000165,42.580276,0.655973,0.001043,0.0000
82,167936,-0.000998,42.883621,0.649329,0.000151,0.0000
83,169984,-0.001395,45.965861,0.649224,0.001500,0.0000
84,172032,0.000278,44.377025,0.650382,0.000078,0.0000
85,174080,-0.002688,42.027272,0.641527,0.000700,0.0000
86,176128,-0.000563,48.887123,0.648274,0.001424,0.0000
87,178176,0.000226,48.372106,0.652308,0.000012,0.0000
88,180224,-0.000563,48.245047,0.651152,0.000313,0.0000
89,182272,-0.001974,47.047724,0.641155,0.000672,0.0005
90,184320,0.000636,50.579690,0.643113,0.000092,0.0000
91,186368,-0.000081,47.257174,0.649343,0.000097,0.0000
92,188416,0.000326,46.747771,0.649848,0.000033,0.0000
93,190464,0.000155,47.487197,0.643291,0.000034,0.0000
94,192512,-0.001448,46.924268,0.644595,0.000124,0.0000
95,194560,-0.000878,45.882806,0.641184,0.000278,0.0000
96,196608,-0.001095,50.551644,0.639176,0.000140,0.0000
97,198656,0.000171,50.403214,0.640300,0.000094,0.0000
98,200704,0.000065,49.815116,0.638267,0.000007,0.0000
99,202752,0.000620,50.247970,0.635073,0.000232,0.0005
100,204800,-0.000721,50.755451,0.638622,0.000097,0.0000
101,206848,0.000464,51.463094,0.640669,0.000690,0.0000
102,208896,-0.002326,51.362871,0.640202,0.000465,0.0000
103,210944,-0.002123,54.407880,0.639246,0.000857,0.0000
104,212992,-0.000387,51.170081,0.639281,0.000038,0.0000
105,215040,-0.002297,51.072650,0.633480,0.000915,0.0000
106,217088,0.000201,52.715800,0.631052,0.000573,0.0000
107,219136,-0.000970,53.730594,0.640312,0.000088,0.0000
108,221184,-0.001362,57.413902,0.638094,0.000201,0.0000
109,223232,0.001307,54.432346,0.636939,0.000326,0.0010
110,225280,0.000641,54.574391,0.636927,0.000035,0.0000
111,227328,-0.001612,54.705465,0.633531,0.000547,0.0000
112,229376,-0.000136,56.621397,0.634008,0.000274,0.0000
113,231424,-0.002195,55.261738,0.628027,0.000516,0.0005
114,233472,-0.000191,55.483317,0.629395,0.000322,0.0000
115,235520,-0.000003,54.961367,0.625530,0.000022,0.0000
116,237568,-0.000574,56.620008,0.635878,0.000160,0.0000
117,239616,-0.000155,56.725058,0.636492,0.000740,0.0000
118,241664,0.000462,57.627094,0.629198,0.000077,0.0000
119,243712,-0.002895,57.750086,0.632321,0.000600,0.0000
120,245760,0.000677,57.391519,0.633501,0.000819,0.0020
121,247808,0.000103,58.746799,0.635708,0.000063,0.0000
122,249856,-0.000522,57.220827,0.631825,0.000365,0.0000
123,251904,-0.001504,56.690804,0.622857,0.000099,0.0000
124,253952,-0.000972,58.517421,0.627660,0.000071,0.0000
125,256000,-0.000328,59.986463,0.630460,0.000048,0.0000
126,258048,0.000436,59.263244,0.632587,0.000034,0.0000
127,260096,0.000190,58.948215,0.623162,0.000058,0.0000
128,262144,-0.000961,58.294443,0.627645,0.000132,0.0000
129,264192,-0.000039,59.400214,0.635807,0.000103,0.0000
130,266240,0.000651,58.245778,0.633419,0.000068,0.0000
131,268288,-0.001374,58.482074,0.634186,0.000264,0.0000
132,270336,-0.001112,58.691939,0.626944,0.000805,0.0000
133,272384,-0.001352,62.484471,0.623129,0.000090,0.0000
134,274432,-0.005169,61.734224,0.618765,0.001262,0.0034
135,276480,0.000251,57.895337,0.625092,0.000701,0.0000
136,278528,0.000268,58.457091,0.623990,0.000046,0.0000
137,280576,-0.000944,59.271094,0.622212,0.000129,0.0000
138,282624,-0.000717,59.888284,0.617174,0.000434,0.0000
139,284672,0.000128,59.067683,0.626150,0.000186,0.0000
140,286720,0.000314,59.130857,0.617984,0.000029,0.0000
