update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.015277,47.206182,0.687835,0.005384,0.0701
2,4096,-0.003872,44.590111,0.681821,0.001481,0.0022
3,6144,-0.001262,32.704374,0.678456,0.003179,0.0174
4,8192,-0.008990,23.362977,0.672361,0.010840,0.0960
5,10240,-0.000322,27.070783,0.677792,0.005429,0.0384
6,12288,-0.010437,24.249795,0.664707,0.012525,0.1245
7,14336,0.001628,34.648921,0.680061,0.004938,0.0268
8,16384,-0.006337,27.318797,0.645140,0.006545,0.0700
9,18432,-0.005366,29.521051,0.638936,0.001542,0.0139
10,20480,0.002292,30.332988,0.636611,0.003840,0.0238
11,22528,-0.008143,30.882366,0.619991,0.001997,0.0189
12,24576,0.002236,41.562779,0.625340,0.003384,0.0294
13,26624,-0.004036,40.506696,0.619215,0.007039,0.0521
14,28672,-0.000516,50.025438,0.631881,0.002328,0.0221
15,30720,-0.003247,52.015545,0.617891,0.004618,0.0407
16,32768,0.007875,52.650720,0.631906,0.005120,0.0524
17,34816,-0.002911,66.696644,0.604920,0.014677,0.1509
18,36864,0.006748,53.139773,0.619895,0.010361,0.1061
19,38912,0.001382,67.832180,0.597276,0.020576,0.2459
20,40960,0.009044,45.048517,0.619589,0.006206,0.0843
21,43008,0.007686,58.227510,0.612471,0.018315,0.1305
22,45056,0.007548,64.425631,0.614649,0.012518,0.1295
23,47104,-0.008768,58.260392,0.592428,0.008567,0.1000
24,49152,0.010544,48.469970,0.608230,0.014287,0.1245
