update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.012757,42.919870,0.688101,0.005274,0.0694
2,4096,-0.006272,41.545542,0.680796,0.001585,0.0047
3,6144,-0.001046,38.621457,0.679408,0.002632,0.0070
4,8192,-0.001594,22.453842,0.679567,0.006826,0.0471
5,10240,-0.003818,25.650518,0.677953,0.007584,0.0452
6,12288,0.000105,33.879903,0.673747,0.002267,0.0167
7,14336,0.002308,29.533016,0.638429,0.021400,0.1588
8,16384,-0.000827,35.393652,0.649029,0.006157,0.0513
9,18432,0.003182,35.407599,0.619215,0.019460,0.1564
10,20480,0.005123,38.462831,0.638175,0.005598,0.0611
11,22528,0.001538,48.731131,0.659053,0.005161,0.0313
12,24576,-0.004637,49.804792,0.595255,0.019674,0.1651
13,26624,0.013956,50.692669,0.639992,0.005173,0.0458
14,28672,-0.004605,51.092673,0.591826,0.017103,0.1550
15,30720,0.006676,41.600205,0.628063,0.011199,0.2163
16,32768,0.016072,64.157612,0.556146,0.090402,0.3498
17,34816,0.008656,52.438623,0.624443,0.009287,0.1270
18,36864,0.007472,57.827178,0.591676,0.040512,0.2117
19,38912,0.018085,47.316508,0.626835,0.009582,0.0775
20,40960,-0.009096,61.723980,0.579503,0.015497,0.1181
21,43008,0.016907,48.094425,0.636518,0.005741,0.0486
22,45056,-0.005232,69.977210,0.586497,0.010623,0.0716
23,47104,0.016474,47.045189,0.625682,0.007084,0.0551
24,49152,-0.009356,77.061487,0.569863,0.021045,0.1418
25,51200,0.014519,45.443271,0.618769,0.010758,0.1484
26,53248,-0.008151,57.006267,0.582046,0.016492,0.1326
27,55296,0.015271,40.515494,0.611849,0.009162,0.0870
28,57344,-0.001365,76.878380,0.557568,0.020583,0.1516
29,59392,0.005675,33.008695,0.612062,0.011507,0.1290
30,61440,-0.010708,80.885466,0.556111,0.021382,0.1286
31,63488,0.012212,18.752105,0.601956,0.011950,0.1787
32,65536,0.001493,53.112197,0.582851,0.008571,0.1057
