episode,step,return
1,44,44.0
2,69,25.0
3,82,13.0
4,100,18.0
5,114,14.0
6,150,36.0
7,166,16.0
8,182,16.0
9,217,35.0
10,233,16.0
11,249,16.0
12,268,19.0
13,292,24.0
14,314,22.0
15,324,10.0
16,336,12.0
17,375,39.0
18,394,19.0
19,427,33.0
20,451,24.0
21,465,14.0
22,516,51.0
23,535,19.0
24,546,11.0
25,575,29.0
26,589,14.0
27,610,21.0
28,622,12.0
29,637,15.0
30,656,19.0
31,669,13.0
32,713,44.0
33,728,15.0
34,755,27.0
35,764,9.0
36,782,18.0
37,805,23.0
38,830,25.0
39,842,12.0
40,857,15.0
41,866,9.0
42,904,38.0
43,914,10.0
44,977,63.0
45,989,12.0
46,1014,25.0
47,1040,26.0
48,1052,12.0
49,1071,19.0
50,1129,58.0
51,1138,9.0
52,1187,49.0
53,1231,44.0
54,1266,35.0
55,1297,31.0
56,1312,15.0
57,1338,26.0
58,1355,17.0
59,1367,12.0
60,1381,14.0
61,1396,15.0
62,1426,30.0
63,1452,26.0
64,1465,13.0
65,1477,12.0
66,1489,12.0
67,1523,34.0
68,1554,31.0
69,1608,54.0
70,1622,14.0
71,1637,15.0
72,1656,19.0
73,1676,20.0
74,1720,44.0
75,1737,17.0
76,1756,19.0
77,1782,26.0
78,1814,32.0
79,1825,11.0
80,1845,20.0
81,1871,26.0
82,1899,28.0
83,1927,28.0
84,1994,67.0
85,2033,39.0
86,2048,15.0
87,2067,19.0
88,2095,28.0
89,2161,66.0
90,2207,46.0
91,2232,25.0
92,2246,14.0
93,2287,41.0
94,2312,25.0
95,2338,26.0
96,2360,22.0
97,2380,20.0
98,2469,89.0
99,2507,38.0
100,2558,51.0
101,2578,20.0
102,2629,51.0
103,2664,35.0
104,2689,25.0
105,2699,10.0
106,2721,22.0
107,2736,15.0
108,2770,34.0
109,2786,16.0
110,2809,23.0
111,2828,19.0
112,2846,18.0
113,2863,17.0
114,2884,21.0
115,2897,13.0
116,2921,24.0
117,2990,69.0
118,3001,11.0
119,3016,15.0
120,3115,99.0
121,3126,11.0
122,3150,24.0
123,3164,14.0
124,3191,27.0
125,3211,20.0
126,3233,22.0
127,3284,51.0
128,3303,19.0
129,3331,28.0
130,3376,45.0
131,3432,56.0
132,3465,33.0
133,3516,51.0
134,3571,55.0
135,3592,21.0
136,3639,47.0
137,3661,22.0
138,3710,49.0
139,3755,45.0
140,3775,20.0
141,3811,36.0
142,3831,20.0
143,3874,43.0
144,3895,21.0
145,3944,49.0
146,3997,53.0
147,4011,14.0
148,4027,16.0
149,4056,29.0
150,4073,17.0
151,4105,32.0
152,4137,32.0
153,4186,49.0
154,4206,20.0
155,4253,47.0
156,4299,46.0
157,4360,61.0
158,4474,114.0
159,4498,24.0
160,4533,35.0
161,4579,46.0
162,4594,15.0
163,4628,34.0
164,4641,13.0
165,4661,20.0
166,4685,24.0
167,4723,38.0
168,4736,13.0
169,4750,14.0
170,4787,37.0
171,4848,61.0
172,4906,58.0
173,4931,25.0
174,4981,50.0
175,4997,16.0
176,5031,34.0
177,5060,29.0
178,5101,41.0
179,5151,50.0
180,5164,13.0
181,5190,26.0
182,5214,24.0
183,5230,16.0
184,5258,28.0
185,5281,23.0
186,5329,48.0
187,5393,64.0
188,5417,24.0
189,5473,56.0
190,5505,32.0
191,5544,39.0
192,5570,26.0
193,5590,20.0
194,5605,15.0
195,5618,13.0
196,5629,11.0
197,5649,20.0
198,5676,27.0
199,5710,34.0
200,5729,19.0
201,5757,28.0
202,5786,29.0
203,5828,42.0
204,5881,53.0
205,5893,12.0
206,5926,33.0
207,5998,72.0
208,6009,11.0
209,6026,17.0
210,6068,42.0
211,6102,34.0
212,6127,25.0
213,6150,23.0
214,6171,21.0
215,6202,31.0
216,6267,65.0
217,6280,13.0
218,6314,34.0
219,6344,30.0
220,6356,12.0
221,6389,33.0
222,6409,20.0
223,6426,17.0
224,6442,16.0
225,6456,14.0
226,6485,29.0
227,6503,18.0
228,6542,39.0
229,6556,14.0
230,6574,18.0
231,6622,48.0
232,6644,22.0
233,6663,19.0
234,6685,22.0
235,6705,20.0
236,6778,73.0
237,6822,44.0
238,6868,46.0
239,6906,38.0
240,6938,32.0
241,6966,28.0
242,6996,30.0
243,7012,16.0
244,7030,18.0
245,7043,13.0
246,7095,52.0
247,7113,18.0
248,7127,14.0
249,7147,20.0
250,7166,19.0
251,7183,17.0
252,7217,34.0
253,7264,47.0
254,7296,32.0
255,7326,30.0
256,7373,47.0
257,7391,18.0
258,7450,59.0
259,7469,19.0
260,7484,15.0
261,7508,24.0
262,7532,24.0
263,7545,13.0
264,7579,34.0
265,7626,47.0
266,7637,11.0
267,7653,16.0
268,7670,17.0
269,7716,46.0
270,7747,31.0
271,7781,34.0
272,7801,20.0
273,7826,25.0
274,7840,14.0
275,7894,54.0
276,7956,62.0
277,7979,23.0
278,8014,35.0
279,8041,27.0
280,8049,8.0
281,8065,16.0
282,8081,16.0
283,8110,29.0
284,8133,23.0
285,8152,19.0
286,8167,15.0
287,8185,18.0
288,8229,44.0
289,8272,43.0
290,8283,11.0
291,8301,18.0
292,8319,18.0
293,8334,15.0
294,8345,11.0
295,8374,29.0
296,8392,18.0
297,8433,41.0
298,8454,21.0
299,8528,74.0
300,8539,11.0
301,8574,35.0
302,8598,24.0
303,8635,37.0
304,8660,25.0
305,8704,44.0
306,8798,94.0
307,8818,20.0
308,8886,68.0
309,8908,22.0
310,8926,18.0
311,8946,20.0
312,8987,41.0
313,9035,48.0
314,9045,10.0
