update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.005904,44.823716,0.691688,0.001482,0.0775
2,4096,-0.004239,45.239050,0.688449,0.000949,0.0368
3,6144,-0.003831,29.363139,0.684667,0.000569,0.0124
4,8192,-0.002342,27.915535,0.679743,0.002034,0.0358
5,10240,0.001851,25.596585,0.679986,0.001900,0.0663
6,12288,-0.002837,20.160199,0.669492,0.003431,0.1622
7,14336,-0.000884,27.506958,0.677300,0.002228,0.0868
8,16384,-0.002042,27.091177,0.663919,0.002012,0.0947
9,18432,-0.001616,30.220048,0.661741,0.001520,0.0585
10,20480,-0.001619,33.673266,0.664621,0.001679,0.0671
11,22528,-0.005552,33.909268,0.662069,0.001744,0.0655
12,24576,-0.004560,35.299670,0.646621,0.001090,0.0359
13,26624,-0.003243,36.526311,0.652208,0.002134,0.0736
14,28672,-0.004958,39.233394,0.639294,0.001974,0.0576
15,30720,0.005596,45.124646,0.648399,0.001093,0.0357
16,32768,-0.006875,47.185312,0.621309,0.002904,0.1453
17,34816,0.001477,50.747222,0.649240,0.003195,0.1605
18,36864,-0.002829,51.281018,0.622770,0.003464,0.0874
19,38912,0.004989,53.108967,0.636211,0.001933,0.0717
20,40960,-0.000394,53.887648,0.620318,0.002165,0.0617
21,43008,0.010996,53.786071,0.642282,0.003911,0.1541
22,45056,0.003642,62.304360,0.606282,0.008699,0.2010
23,47104,0.008794,54.639504,0.635630,0.004615,0.2038
24,49152,0.003434,63.779584,0.597962,0.009212,0.1568
25,51200,0.007312,60.215665,0.628660,0.002268,0.0705
26,53248,0.005618,58.515490,0.633205,0.001920,0.0675
27,55296,0.001024,72.865981,0.591711,0.006399,0.1901
28,57344,0.009558,57.229683,0.600592,0.007858,0.1897
29,59392,0.005569,57.847558,0.615009,0.003769,0.1457
30,61440,0.006373,56.831479,0.603886,0.004536,0.1060
31,63488,0.010310,64.076366,0.623149,0.004573,0.1347
32,65536,-0.002223,69.435908,0.598257,0.003054,0.1085
33,67584,-0.001123,61.370532,0.593149,0.003002,0.1335
34,69632,0.014154,36.059096,0.614955,0.005321,0.1943
35,71680,0.005071,85.886036,0.586740,0.014325,0.2463
36,73728,0.001338,58.295798,0.587432,0.002684,0.1309
37,75776,0.016416,22.651157,0.612816,0.005679,0.2814
38,77824,0.012789,79.709914,0.581830,0.016486,0.3231
39,79872,0.009680,19.199896,0.616230,0.003775,0.1445
40,81920,0.014337,35.674766,0.607566,0.008433,0.3179
41,83968,0.009192,63.110514,0.599190,0.008570,0.2733
42,86016,0.007787,24.926646,0.603257,0.007595,0.2560
43,88064,0.009640,80.840980,0.563256,0.019950,0.3297
44,90112,0.010088,23.207415,0.594427,0.005057,0.2201
45,92160,0.004303,59.110304,0.592981,0.005732,0.2233
46,94208,0.010650,31.878315,0.600558,0.006546,0.2704
47,96256,-0.000623,55.228887,0.573718,0.008947,0.3068
48,98304,0.010662,18.026907,0.608181,0.006125,0.1779
49,100352,0.015190,82.678487,0.581779,0.016445,0.3217
50,102400,0.005801,28.908888,0.604177,0.003926,0.1497
51,104448,0.015390,19.275377,0.616798,0.006489,0.3133
52,106496,0.012892,92.637474,0.583053,0.019849,0.2453
53,108544,0.016962,25.144543,0.609319,0.006895,0.2024
54,110592,0.009808,61.956658,0.582496,0.014750,0.2694
55,112640,0.012927,30.559167,0.618209,0.005718,0.2263
56,114688,0.000580,50.467059,0.562532,0.009817,0.1924
57,116736,0.012703,6.241837,0.601317,0.008361,0.3231
58,118784,0.001791,34.782348,0.600033,0.002777,0.1234
59,120832,-0.002520,28.618780,0.583440,0.003326,0.1872
60,122880,0.002113,38.895192,0.572438,0.008822,0.2079
61,124928,0.013296,14.313435,0.606468,0.007773,0.3812
62,126976,0.016185,84.254564,0.534532,0.033275,0.3151
63,129024,0.008252,3.414634,0.593191,0.008471,0.3322
64,131072,0.011528,110.842507,0.573076,0.043634,0.2978
65,133120,0.020575,9.497968,0.611080,0.011523,0.3924
66,135168,0.004054,7.047445,0.597673,0.005078,0.2361
67,137216,0.008192,41.777854,0.567159,0.011201,0.2872
68,139264,0.008714,4.981394,0.598362,0.008520,0.3583
69,141312,0.003722,47.774524,0.574872,0.017988,0.2918
70,143360,0.012034,13.692899,0.595075,0.011439,0.3659
71,145408,0.001410,14.628980,0.586070,0.003390,0.1283
72,147456,0.001744,35.962111,0.571980,0.007154,0.2026
73,149504,0.004913,10.761492,0.590916,0.007236,0.2952
74,151552,0.005929,37.888189,0.551715,0.018858,0.2664
75,153600,0.013795,2.199575,0.604135,0.010193,0.3503
76,155648,0.014885,79.499426,0.567005,0.024491,0.2954
77,157696,0.005713,12.078898,0.600020,0.006431,0.2817
78,159744,0.004083,16.690156,0.588454,0.005397,0.2152
79,161792,0.002247,28.458020,0.586354,0.005518,0.2755
80,163840,0.012345,2.443636,0.609820,0.008165,0.2162
