episode,step,return
1,32,32.0
2,64,32.0
3,96,32.0
4,110,14.0
5,154,44.0
6,179,25.0
7,198,19.0
8,250,52.0
9,273,23.0
10,290,17.0
11,302,12.0
12,330,28.0
13,342,12.0
14,371,29.0
15,391,20.0
16,441,50.0
17,467,26.0
18,527,60.0
19,539,12.0
20,563,24.0
21,592,29.0
22,606,14.0
23,628,22.0
24,643,15.0
25,663,20.0
26,694,31.0
27,710,16.0
28,743,33.0
29,762,19.0
30,776,14.0
31,808,32.0
32,824,16.0
33,853,29.0
34,878,25.0
35,898,20.0
36,907,9.0
37,929,22.0
38,945,16.0
39,964,19.0
40,995,31.0
41,1019,24.0
42,1035,16.0
43,1063,28.0
44,1079,16.0
45,1095,16.0
46,1111,16.0
47,1129,18.0
48,1147,18.0
49,1169,22.0
50,1179,10.0
51,1274,95.0
52,1289,15.0
53,1305,16.0
54,1326,21.0
55,1340,14.0
56,1356,16.0
57,1373,17.0
58,1382,9.0
59,1398,16.0
60,1423,25.0
61,1438,15.0
62,1452,14.0
63,1531,79.0
64,1552,21.0
65,1567,15.0
66,1587,20.0
67,1606,19.0
68,1620,14.0
69,1635,15.0
70,1664,29.0
71,1673,9.0
72,1693,20.0
73,1722,29.0
74,1738,16.0
75,1766,28.0
76,1816,50.0
77,1835,19.0
78,1861,26.0
79,1877,16.0
80,1899,22.0
81,1923,24.0
82,1933,10.0
83,1960,27.0
84,1993,33.0
85,2003,10.0
86,2019,16.0
87,2031,12.0
88,2044,13.0
89,2069,25.0
90,2140,71.0
91,2170,30.0
92,2191,21.0
93,2257,66.0
94,2295,38.0
95,2336,41.0
96,2396,60.0
97,2424,28.0
98,2458,34.0
99,2501,43.0
100,2539,38.0
101,2572,33.0
102,2595,23.0
103,2612,17.0
104,2622,10.0
105,2651,29.0
106,2699,48.0
107,2712,13.0
108,2735,23.0
109,2808,73.0
110,2828,20.0
111,2868,40.0
112,2919,51.0
113,2931,12.0
114,2965,34.0
115,2982,17.0
116,2998,16.0
117,3026,28.0
118,3073,47.0
119,3105,32.0
120,3127,22.0
121,3163,36.0
122,3200,37.0
123,3256,56.0
124,3303,47.0
125,3329,26.0
126,3373,44.0
127,3401,28.0
128,3448,47.0
129,3463,15.0
130,3484,21.0
131,3500,16.0
132,3523,23.0
133,3545,22.0
134,3570,25.0
135,3618,48.0
136,3681,63.0
137,3710,29.0
138,3720,10.0
139,3737,17.0
140,3747,10.0
141,3775,28.0
142,3814,39.0
143,3828,14.0
144,3895,67.0
145,3990,95.0
146,4022,32.0
147,4098,76.0
148,4108,10.0
149,4128,20.0
150,4152,24.0
151,4166,14.0
152,4187,21.0
153,4244,57.0
154,4295,51.0
155,4339,44.0
156,4353,14.0
157,4405,52.0
158,4430,25.0
159,4531,101.0
160,4547,16.0
161,4573,26.0
162,4622,49.0
163,4636,14.0
164,4661,25.0
165,4747,86.0
166,4794,47.0
167,4813,19.0
168,4844,31.0
169,4874,30.0
170,4910,36.0
171,4931,21.0
172,4943,12.0
173,4958,15.0
174,4989,31.0
175,5001,12.0
176,5019,18.0
177,5043,24.0
178,5085,42.0
179,5105,20.0
180,5118,13.0
181,5163,45.0
182,5187,24.0
183,5226,39.0
184,5251,25.0
185,5288,37.0
186,5321,33.0
187,5337,16.0
188,5358,21.0
189,5391,33.0
190,5440,49.0
191,5488,48.0
192,5505,17.0
193,5541,36.0
194,5576,35.0
195,5622,46.0
196,5647,25.0
197,5699,52.0
198,5722,23.0
199,5747,25.0
200,5768,21.0
201,5781,13.0
202,5801,20.0
203,5875,74.0
204,5890,15.0
205,5914,24.0
206,5933,19.0
207,5959,26.0
208,5974,15.0
209,5990,16.0
210,6012,22.0
211,6036,24.0
212,6092,56.0
213,6110,18.0
214,6147,37.0
215,6164,17.0
216,6216,52.0
217,6230,14.0
218,6244,14.0
219,6264,20.0
220,6276,12.0
221,6287,11.0
222,6302,15.0
223,6317,15.0
224,6337,20.0
225,6364,27.0
226,6379,15.0
227,6393,14.0
228,6425,32.0
229,6445,20.0
230,6464,19.0
231,6474,10.0
232,6537,63.0
233,6550,13.0
234,6627,77.0
235,6649,22.0
236,6660,11.0
237,6702,42.0
238,6722,20.0
239,6739,17.0
240,6771,32.0
241,6810,39.0
242,6829,19.0
243,6848,19.0
244,6875,27.0
245,6897,22.0
246,6952,55.0
247,6973,21.0
248,7002,29.0
249,7054,52.0
250,7076,22.0
251,7088,12.0
252,7110,22.0
253,7165,55.0
254,7188,23.0
255,7211,23.0
256,7219,8.0
257,7239,20.0
258,7257,18.0
259,7277,20.0
260,7290,13.0
261,7323,33.0
262,7342,19.0
263,7375,33.0
264,7410,35.0
265,7449,39.0
266,7479,30.0
267,7533,54.0
268,7552,19.0
