update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.009179,45.491674,0.689395,0.003799,0.0397
2,4096,-0.004480,59.158350,0.683027,0.000894,0.0010
3,6144,-0.002259,46.159785,0.672609,0.001822,0.0010
4,8192,-0.008498,31.099307,0.671967,0.007885,0.0804
5,10240,-0.000906,35.481707,0.667982,0.006997,0.0450
6,12288,-0.003143,23.381550,0.675219,0.008901,0.0731
7,14336,-0.001137,24.217708,0.671516,0.007732,0.0623
8,16384,0.002120,28.427067,0.673899,0.004509,0.0185
9,18432,-0.000524,32.850601,0.672475,0.009499,0.1247
10,20480,-0.001527,26.518927,0.649543,0.010280,0.1636
11,22528,-0.011712,30.216199,0.646951,0.008806,0.1018
12,24576,-0.005179,29.859500,0.632242,0.010225,0.0692
13,26624,0.001720,35.673732,0.642447,0.003432,0.0214
14,28672,-0.006107,27.538332,0.609925,0.012126,0.1014
15,30720,0.008387,31.933883,0.627656,0.002889,0.0272
16,32768,-0.007628,41.911084,0.631325,0.005270,0.0308
17,34816,0.005102,38.192663,0.632509,0.002240,0.0199
18,36864,-0.005825,42.719625,0.608655,0.007204,0.0502
19,38912,0.006405,43.358368,0.624798,0.006003,0.0610
20,40960,-0.005658,53.535721,0.622292,0.003968,0.0306
21,43008,0.006351,51.219064,0.638099,0.001616,0.0113
22,45056,-0.006394,56.182018,0.627009,0.002836,0.0197
23,47104,-0.001589,57.024798,0.623007,0.004546,0.0325
24,49152,-0.007290,56.702151,0.612878,0.007016,0.0495
25,51200,0.008832,52.812143,0.632543,0.002653,0.0219
26,53248,-0.007526,67.404723,0.601886,0.007023,0.0635
27,55296,0.005941,57.296255,0.622577,0.001954,0.0184
28,57344,0.002179,53.328551,0.618227,0.004028,0.0353
29,59392,-0.007986,57.981597,0.612410,0.003489,0.0294
30,61440,0.011847,57.126452,0.625880,0.004926,0.0322
31,63488,0.000900,63.606920,0.609295,0.013658,0.0829
32,65536,0.010173,59.451458,0.614418,0.007286,0.0624
33,67584,0.004462,64.583898,0.591971,0.008645,0.0934
34,69632,-0.008476,89.091054,0.570749,0.014195,0.0926
35,71680,0.007493,38.009599,0.598862,0.010233,0.1322
36,73728,-0.004499,55.551080,0.594580,0.010553,0.1159
37,75776,0.008681,44.693872,0.595756,0.004294,0.0595
38,77824,0.005767,96.914874,0.581155,0.029674,0.1602
39,79872,0.004296,39.449155,0.608567,0.005355,0.0598
40,81920,0.002047,84.879467,0.530723,0.036637,0.2574
41,83968,0.010207,26.684937,0.571240,0.016263,0.1996
42,86016,0.002494,55.188672,0.592678,0.011247,0.0764
43,88064,-0.000819,70.461747,0.577933,0.012694,0.1292
44,90112,0.009052,25.625871,0.596417,0.007177,0.0984
45,92160,-0.002558,50.704114,0.590058,0.003552,0.0220
46,94208,-0.003545,54.045105,0.579367,0.008347,0.0670
47,96256,0.015786,22.522645,0.602207,0.011009,0.1222
48,98304,-0.004715,81.852163,0.580564,0.013164,0.1107
49,100352,0.004467,36.600051,0.591868,0.007185,0.0725
50,102400,0.000796,53.299782,0.578672,0.007594,0.0723
51,104448,0.002325,29.900614,0.597831,0.008776,0.1312
52,106496,0.006504,122.314308,0.546253,0.038592,0.2181
53,108544,0.009639,35.237091,0.592526,0.010086,0.0903
54,110592,-0.005830,55.440086,0.581178,0.006491,0.0424
55,112640,0.011372,18.360667,0.604607,0.007184,0.0790
56,114688,-0.003672,67.879274,0.570104,0.005955,0.0356
57,116736,0.013315,18.655312,0.612014,0.005539,0.0434
58,118784,-0.001986,65.109417,0.565986,0.008620,0.0650
59,120832,0.007342,16.396251,0.597940,0.006523,0.0776
60,122880,-0.004444,79.843947,0.557520,0.019125,0.1566
61,124928,-0.000817,18.398496,0.578902,0.015676,0.2879
62,126976,-0.007049,80.638879,0.549600,0.015441,0.1204
63,129024,0.008652,14.106806,0.578388,0.010475,0.1223
64,131072,-0.000813,43.742208,0.567939,0.022104,0.1541
65,133120,-0.002850,34.199195,0.581824,0.008114,0.0815
66,135168,0.006669,7.905989,0.597489,0.010696,0.1485
67,137216,0.005587,98.533672,0.576086,0.030941,0.1830
68,139264,0.003065,33.735096,0.583325,0.008605,0.0964
69,141312,-0.004159,17.753716,0.559961,0.013094,0.2140
70,143360,-0.004867,31.277666,0.574652,0.003121,0.0228
71,145408,0.002064,19.965036,0.585521,0.011313,0.1343
72,147456,0.005416,57.517271,0.561843,0.011886,0.1416
73,149504,0.002366,13.776383,0.582892,0.008429,0.0859
74,151552,-0.004012,56.196413,0.537208,0.029128,0.2674
75,153600,0.002669,22.038747,0.568560,0.007227,0.0657
76,155648,0.002285,28.537191,0.583626,0.005745,0.0544
77,157696,-0.002268,74.128574,0.573028,0.003743,0.0345
78,159744,0.003888,26.543325,0.571839,0.002656,0.0316
79,161792,0.014418,37.128972,0.625162,0.011498,0.0886
80,163840,0.018809,29.363458,0.619444,0.017096,0.1707
81,165888,0.002975,48.671961,0.572036,0.008116,0.0804
82,167936,0.008261,35.916664,0.587353,0.012723,0.1227
83,169984,0.000860,36.118951,0.583376,0.003259,0.0178
84,172032,-0.002352,73.813763,0.577880,0.010383,0.0641
85,174080,0.000101,33.838422,0.556930,0.013500,0.0775
86,176128,0.002052,24.646021,0.592050,0.010657,0.0718
87,178176,0.006270,70.087530,0.592807,0.023387,0.0989
88,180224,0.007979,34.707792,0.569752,0.024027,0.1936
89,182272,0.001296,17.294180,0.570836,0.005731,0.0674
90,184320,0.010467,55.600753,0.556583,0.026618,0.1927
91,186368,-0.000055,32.877567,0.564315,0.029368,0.2541
92,188416,0.009331,16.422597,0.582781,0.008098,0.0749
93,190464,-0.001552,68.528103,0.576031,0.005568,0.0355
94,192512,0.003008,25.597464,0.595096,0.008040,0.0634
95,194560,0.004056,42.323777,0.570266,0.008443,0.0786
96,196608,0.004088,19.066989,0.567198,0.014249,0.1949
97,198656,-0.004531,59.258537,0.547111,0.012198,0.1455
98,200704,0.010101,28.420806,0.608366,0.007457,0.0729
