update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.014369,78.624411,0.687506,0.005631,0.0798
2,4096,-0.002389,100.461627,0.684928,0.000257,0.0000
3,6144,-0.000745,81.682316,0.681090,0.000942,0.0000
4,8192,-0.001958,48.496438,0.679014,0.008434,0.0609
5,10240,-0.002127,46.769686,0.681325,0.007470,0.0533
6,12288,-0.002888,44.527178,0.664095,0.011003,0.0842
7,14336,-0.002369,53.206014,0.668297,0.007005,0.0625
8,16384,-0.002085,48.859142,0.648786,0.005592,0.0511
9,18432,-0.004011,70.425515,0.656136,0.005983,0.0450
10,20480,-0.006916,52.815484,0.622408,0.010315,0.1017
11,22528,0.005072,74.364450,0.637838,0.004888,0.0477
12,24576,-0.007114,73.952492,0.637866,0.004929,0.0296
13,26624,0.003714,88.631276,0.625978,0.010128,0.1254
14,28672,-0.008729,84.717161,0.621403,0.011008,0.1443
15,30720,-0.005190,92.120846,0.633328,0.007629,0.1058
16,32768,0.004745,94.911871,0.635384,0.005453,0.0286
17,34816,-0.008410,97.849512,0.594964,0.011394,0.0797
18,36864,0.013412,111.144187,0.630118,0.008628,0.0623
19,38912,0.001004,110.823361,0.628097,0.004714,0.0409
20,40960,0.000703,105.536360,0.618084,0.005514,0.0617
21,43008,0.004497,107.173516,0.633336,0.004816,0.0322
22,45056,-0.005051,106.482024,0.599453,0.019678,0.1345
23,47104,0.018243,115.637048,0.637298,0.007492,0.0689
24,49152,-0.001564,134.292380,0.579720,0.017210,0.1405
25,51200,0.011239,130.137708,0.637498,0.007074,0.0762
26,53248,0.000559,114.297537,0.581667,0.016073,0.1272
27,55296,0.014004,113.468904,0.625510,0.009184,0.0893
28,57344,-0.001749,115.760573,0.579723,0.017530,0.1715
29,59392,0.016765,105.768075,0.619652,0.010065,0.1063
30,61440,0.001399,141.101535,0.579790,0.024748,0.1357
31,63488,0.008744,124.664030,0.607219,0.006311,0.0579
32,65536,0.004410,121.247776,0.596047,0.011845,0.1141
33,67584,0.013876,109.035875,0.605856,0.008788,0.0854
34,69632,-0.002905,138.030466,0.583200,0.010452,0.0834
35,71680,0.007796,132.691647,0.604145,0.005589,0.0551
36,73728,0.012706,143.011815,0.597856,0.019929,0.1613
37,75776,0.009738,116.825149,0.560529,0.022122,0.1416
38,77824,0.009919,121.532443,0.617529,0.013959,0.1475
39,79872,-0.004326,163.655480,0.568470,0.015546,0.1185
40,81920,0.021169,111.487631,0.617977,0.015060,0.1462
41,83968,0.003814,128.756548,0.574204,0.023483,0.1542
42,86016,0.028664,100.970050,0.632729,0.023379,0.2214
43,88064,0.012207,307.218054,0.505269,0.084721,0.3276
44,90112,0.010940,118.130616,0.631849,0.012632,0.1285
45,92160,0.003309,140.989333,0.541753,0.053606,0.2253
46,94208,0.006259,88.915169,0.586581,0.014949,0.1380
47,96256,0.002519,94.468263,0.601902,0.004837,0.0450
48,98304,0.000682,91.760307,0.598795,0.005419,0.0318
49,100352,0.010114,127.661475,0.548434,0.031397,0.2190
50,102400,0.014321,74.050818,0.572055,0.009273,0.0854
51,104448,0.009128,74.481727,0.575294,0.014092,0.1660
52,106496,0.013564,136.764956,0.622168,0.013466,0.1285
53,108544,-0.001009,127.895066,0.575718,0.009662,0.0787
54,110592,0.002834,154.883464,0.570648,0.009262,0.0707
55,112640,0.002648,86.561563,0.574744,0.007359,0.0883
56,114688,0.016354,98.473874,0.612057,0.014397,0.1376
57,116736,0.000608,124.234195,0.579191,0.012860,0.1070
58,118784,0.010499,45.216912,0.603732,0.017033,0.2062
59,120832,0.011724,288.600846,0.561855,0.024515,0.1354
60,122880,0.003212,98.058034,0.595216,0.004094,0.0465
61,124928,0.000477,104.887481,0.570937,0.012533,0.1381
62,126976,-0.004799,136.657330,0.544131,0.012134,0.1413
63,129024,0.021431,62.769828,0.632063,0.028443,0.2736
64,131072,0.007895,151.155537,0.559555,0.048693,0.1646
65,133120,0.016237,29.079909,0.574429,0.014942,0.1450
66,135168,-0.005247,64.681945,0.577294,0.006809,0.0576
67,137216,0.005563,70.311466,0.597451,0.003857,0.0322
68,139264,0.004711,63.484656,0.574216,0.007554,0.0499
69,141312,-0.001680,64.166547,0.566999,0.012051,0.1472
70,143360,0.003648,46.317895,0.604001,0.008216,0.0779
71,145408,0.006293,150.291686,0.528185,0.031570,0.1900
72,147456,0.012005,22.470132,0.588587,0.013462,0.1915
73,149504,0.011620,189.670207,0.543434,0.045621,0.1249
74,151552,0.018543,22.004843,0.581080,0.022722,0.1929
75,153600,0.005611,28.691974,0.595120,0.012811,0.1652
76,155648,0.015904,243.380308,0.504103,0.087255,0.2862
77,157696,0.019619,28.378841,0.626351,0.016650,0.2228
78,159744,-0.004091,58.111641,0.576918,0.018600,0.1635
79,161792,0.000276,79.938864,0.554022,0.013347,0.0974
80,163840,0.014634,17.738362,0.600705,0.018910,0.1715
81,165888,0.002552,134.757344,0.528859,0.018491,0.1114
82,167936,0.007221,12.388575,0.606234,0.012007,0.1331
83,169984,0.001931,70.658429,0.579407,0.010127,0.1105
