update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,1024,-0.011132,53.198907,0.690957,0.002195,0.0096
2,2048,-0.005937,47.301591,0.684312,0.000865,0.0003
3,3072,-0.005832,53.680671,0.675111,0.000800,0.0004
4,4096,0.000471,50.847702,0.671242,0.000580,0.0000
5,5120,-0.000402,36.785079,0.673399,0.000310,0.0000
6,6144,-0.003251,36.051866,0.671766,0.004440,0.0161
7,7168,-0.006941,38.213645,0.670753,0.006714,0.0971
8,8192,-0.001764,25.729543,0.674288,0.006111,0.0431
9,9216,0.001764,29.728514,0.678952,0.000584,0.0004
10,10240,-0.002945,30.425828,0.680430,0.007534,0.0737
11,11264,-0.000326,31.649157,0.681414,0.003662,0.0131
12,12288,0.001020,29.454999,0.674257,0.009490,0.1222
13,13312,-0.000263,32.448537,0.666122,0.000811,0.0018
14,14336,-0.013902,30.245137,0.649266,0.011520,0.1441
15,15360,0.000277,37.943776,0.663534,0.002593,0.0146
16,16384,-0.007155,38.534466,0.653844,0.009444,0.0963
17,17408,-0.003650,39.941812,0.648795,0.004777,0.0275
18,18432,-0.003882,41.242726,0.636709,0.005397,0.0386
19,19456,-0.004613,39.215173,0.635818,0.008518,0.0649
20,20480,-0.000672,45.257451,0.634984,0.003423,0.0154
21,21504,-0.008483,38.553241,0.628468,0.009745,0.1002
22,22528,0.000065,39.302920,0.620027,0.003366,0.0156
23,23552,-0.001667,54.608971,0.630029,0.007605,0.0754
24,24576,-0.002818,48.133762,0.604184,0.010019,0.1208
25,25600,0.000536,47.043722,0.626325,0.003986,0.0429
26,26624,0.002861,49.453211,0.629624,0.002250,0.0204
27,27648,-0.000694,52.262479,0.644757,0.002442,0.0181
28,28672,-0.006806,54.948373,0.633446,0.009619,0.0996
29,29696,-0.001679,52.748019,0.634329,0.005184,0.0271
30,30720,-0.009931,52.094022,0.622446,0.008740,0.1063
31,31744,0.002450,59.736780,0.631631,0.001069,0.0084
32,32768,-0.006215,58.583838,0.611006,0.008519,0.0694
33,33792,-0.000356,54.876016,0.629453,0.004417,0.0249
34,34816,-0.000861,59.976378,0.595572,0.013111,0.1468
35,35840,-0.002173,62.339189,0.599189,0.002141,0.0089
36,36864,-0.001480,55.870011,0.628233,0.007608,0.0727
37,37888,-0.008076,67.534923,0.584002,0.013790,0.1400
38,38912,0.000181,61.180279,0.618821,0.005433,0.0360
39,39936,-0.006670,62.899997,0.610020,0.006168,0.0617
40,40960,-0.006300,55.688771,0.602423,0.013137,0.1229
41,41984,-0.006932,62.389862,0.603989,0.011151,0.1426
42,43008,0.001046,47.911340,0.616300,0.001941,0.0124
43,44032,-0.000554,51.088292,0.608959,0.010168,0.1354
44,45056,-0.008301,85.313527,0.608254,0.005127,0.0376
45,46080,-0.004481,49.929476,0.601968,0.001363,0.0084
46,47104,0.006895,49.334142,0.633233,0.003023,0.0265
47,48128,-0.007866,96.937199,0.605935,0.005318,0.0367
48,49152,-0.001087,61.074471,0.591269,0.003282,0.0293
49,50176,-0.003635,67.336133,0.607742,0.005848,0.0403
50,51200,-0.001272,49.497530,0.609741,0.002271,0.0218
51,52224,-0.005059,74.673446,0.597373,0.012098,0.1016
52,53248,-0.004465,68.153373,0.583229,0.008380,0.0783
53,54272,0.002086,44.958737,0.614081,0.003972,0.0396
54,55296,0.004587,56.786068,0.608933,0.006197,0.0631
55,56320,-0.005516,107.287833,0.582821,0.013892,0.1244
56,57344,-0.003638,61.464653,0.589583,0.010812,0.0943
57,58368,0.003501,27.132051,0.614254,0.001661,0.0106
58,59392,0.002686,48.266244,0.609537,0.007501,0.0674
59,60416,0.000032,67.516650,0.606170,0.006907,0.0624
60,61440,-0.005751,59.849474,0.585225,0.008330,0.0783
61,62464,0.004331,35.229173,0.575625,0.003241,0.0215
62,63488,-0.005802,71.071630,0.577258,0.007394,0.0470
63,64512,0.002361,27.868700,0.602067,0.001904,0.0111
64,65536,0.006310,49.473588,0.606545,0.002603,0.0278
65,66560,-0.002849,58.413564,0.599057,0.007388,0.0776
66,67584,-0.001477,50.638826,0.594874,0.002745,0.0202
67,68608,0.002052,73.393784,0.593369,0.017886,0.1553
