algorithm,n_seeds,final_eval_return_mean,final_eval_return_std,final_train_return_mean,final_train_return_std,AULC_1M,AULC_200k,t_475_mean,t_475_std,solve_rate,post_solve_min_return
PPO_full,5,485.7400,28.5200,469.3520,41.9052,0.7345,0.3730,356761.6000,129743.0226,1.0000,158.9600
PPO_tuned,5,500.0000,0.0000,497.7600,1.7414,0.9167,0.5874,154316.8000,27984.6292,1.0000,209.4100
PPO_no_clip,3,426.0133,60.0365,306.3400,155.0404,0.7059,0.2677,264874.6667,75828.2583,1.0000,13.5000
PPO_lambda0,3,479.4033,29.1281,462.2400,41.1757,0.7352,0.3888,277845.3333,41982.6124,1.0000,68.1667
PPO_no_adv_norm,3,500.0000,0.0000,493.2033,2.8728,0.9015,0.4927,204117.3333,61082.4560,1.0000,493.0333
PPO_single_epoch,3,458.7167,58.3834,195.3167,11.2484,0.5638,0.1926,744106.6667,95069.7591,1.0000,335.8833
A2C,5,491.9700,5.2159,491.9700,5.2159,0.9471,0.7972,105629.2000,17153.3276,1.0000,57.4000
REINFORCE,5,494.4020,1.8450,494.4020,1.8450,0.8954,0.6226,266653.6000,24616.9419,1.0000,106.2000
AC,5,122.7900,66.6043,122.7900,66.6043,0.2976,0.1859,412955.5000,183552.5000,0.4000,29.5000
DQN,5,495.9280,7.9504,495.9280,7.9504,0.7221,0.1030,415389.0000,17630.3679,1.0000,234.6000
