update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.015061,42.770255,0.687655,0.005477,0.0754
2,4096,-0.002122,46.320736,0.683743,0.000314,0.0000
3,6144,-0.004153,36.008486,0.676301,0.005295,0.0156
4,8192,-0.010758,20.963013,0.678245,0.011167,0.1130
5,10240,0.002618,32.105067,0.684451,0.002308,0.0109
6,12288,-0.002884,26.953566,0.669242,0.006687,0.0506
7,14336,-0.001748,33.710442,0.666711,0.005726,0.0502
8,16384,-0.003353,37.369073,0.660921,0.003893,0.0122
9,18432,-0.005307,34.078086,0.626541,0.011310,0.1147
10,20480,0.002282,36.099773,0.637608,0.002535,0.0180
11,22528,0.004470,42.148850,0.632469,0.003685,0.0284
12,24576,-0.004973,46.873709,0.632670,0.007471,0.0812
13,26624,0.004116,46.942901,0.633223,0.012990,0.0705
14,28672,-0.005794,51.329650,0.630798,0.007668,0.0492
15,30720,0.002776,51.866266,0.631124,0.009473,0.0915
16,32768,-0.000158,51.199890,0.618666,0.007424,0.0588
17,34816,-0.005142,55.048989,0.614044,0.009360,0.0729
18,36864,0.002300,57.592933,0.617098,0.003175,0.0236
19,38912,-0.006032,57.449740,0.575087,0.015598,0.1794
20,40960,0.003788,54.908352,0.622732,0.004521,0.0437
21,43008,-0.004701,62.940606,0.602560,0.006200,0.0588
22,45056,-0.000131,57.336173,0.607962,0.003851,0.0343
23,47104,-0.006741,58.430015,0.584949,0.005193,0.0499
24,49152,0.014827,38.949472,0.618761,0.007732,0.0755
25,51200,-0.001179,74.310506,0.577632,0.026186,0.1389
26,53248,0.012198,37.621156,0.612302,0.008019,0.0864
27,55296,-0.000135,63.490155,0.558167,0.022797,0.1849
28,57344,0.016344,20.251854,0.592494,0.020914,0.2186
29,59392,0.007867,124.613440,0.526986,0.106276,0.2838
30,61440,0.018651,33.488110,0.607051,0.008365,0.1038
31,63488,0.018927,101.576621,0.529799,0.076450,0.2788
32,65536,0.010333,27.707347,0.593449,0.014063,0.1783
33,67584,0.012298,22.418388,0.617268,0.011727,0.1513
34,69632,-0.000048,120.638388,0.542476,0.036522,0.2022
35,71680,0.014805,20.873045,0.591044,0.007318,0.0686
36,73728,0.011152,40.178202,0.584366,0.014743,0.1528
37,75776,0.000293,65.534250,0.555388,0.018504,0.1732
38,77824,0.015740,28.098880,0.595581,0.012530,0.1383
39,79872,-0.003538,49.159372,0.563027,0.015467,0.1356
40,81920,0.019475,29.494856,0.579797,0.024874,0.2354
41,83968,0.008889,39.065111,0.563783,0.036204,0.2123
42,86016,0.001631,26.011624,0.597542,0.009316,0.1073
43,88064,0.003531,67.658829,0.569853,0.019217,0.1463
44,90112,0.018111,15.958192,0.596016,0.012234,0.1392
45,92160,0.013244,84.486831,0.559085,0.050668,0.2814
46,94208,0.007098,41.821717,0.569783,0.014186,0.1513
47,96256,0.010256,7.725143,0.596217,0.011773,0.1934
48,98304,0.006019,104.532327,0.553541,0.030523,0.1601
49,100352,0.013493,30.597547,0.587705,0.011870,0.1073
50,102400,-0.003514,41.814656,0.571532,0.005216,0.0458
51,104448,0.008878,26.349656,0.573457,0.011899,0.1274
52,106496,-0.003903,56.673217,0.573852,0.014637,0.1390
53,108544,0.003712,15.349745,0.586806,0.016374,0.1565
54,110592,0.008710,161.140012,0.517807,0.079606,0.3079
55,112640,0.004194,9.951647,0.563267,0.013223,0.1731
56,114688,-0.000519,97.044919,0.520463,0.056901,0.2657
57,116736,0.007471,7.927178,0.587476,0.021629,0.2920
58,118784,0.000636,11.167320,0.590954,0.014939,0.2542
59,120832,0.004527,126.131266,0.536686,0.037886,0.1664
60,122880,0.001300,57.615071,0.549278,0.033974,0.1862
61,124928,0.014842,6.736513,0.602358,0.016715,0.2152
62,126976,-0.001326,3.031375,0.597593,0.018471,0.2812
63,129024,0.001572,142.472508,0.556013,0.036280,0.1678
64,131072,0.009682,22.744608,0.596885,0.015900,0.1849
65,133120,0.006242,4.868101,0.612243,0.014657,0.1779
66,135168,0.004720,82.038580,0.562646,0.020589,0.1537
67,137216,0.001656,21.044912,0.590175,0.012495,0.1590
68,139264,0.000255,11.705324,0.595176,0.011782,0.1885
69,141312,0.008616,130.910973,0.547834,0.047542,0.2111
70,143360,0.008653,13.637986,0.584992,0.014518,0.2249
71,145408,0.007379,171.604167,0.512681,0.081486,0.1657
72,147456,0.004292,4.308780,0.583382,0.015632,0.1933
73,149504,0.003107,35.532012,0.583429,0.026169,0.2059
74,151552,0.010490,67.362436,0.558418,0.025988,0.1806
75,153600,0.009282,22.746864,0.568950,0.014702,0.1601
76,155648,0.000271,24.126893,0.559391,0.034144,0.2129
77,157696,-0.000420,44.693742,0.572704,0.011397,0.1180
78,159744,0.001377,59.128066,0.582607,0.013430,0.1194
79,161792,0.012715,25.835116,0.585223,0.016800,0.1582
80,163840,0.005065,108.391380,0.538072,0.035331,0.1588
81,165888,0.015450,7.196208,0.559246,0.028734,0.2139
82,167936,-0.001928,14.114436,0.568057,0.006385,0.0889
83,169984,0.001895,93.180745,0.549516,0.018066,0.1036
84,172032,0.005800,8.832695,0.589555,0.008359,0.1211
85,174080,-0.005713,39.214344,0.556510,0.009212,0.0911
86,176128,0.000717,38.555744,0.573129,0.020460,0.1214
87,178176,0.008178,35.972653,0.581395,0.013952,0.1663
88,180224,-0.000297,69.752013,0.546142,0.011875,0.1243
89,182272,-0.000061,38.352410,0.587442,0.005404,0.0340
90,184320,-0.002021,23.190814,0.565902,0.010863,0.1071
91,186368,-0.001746,19.651351,0.577822,0.008974,0.1135
92,188416,-0.002704,30.654620,0.566126,0.007704,0.0781
93,190464,-0.000107,73.609106,0.540858,0.018411,0.1069
94,192512,0.006231,38.334139,0.564063,0.012463,0.1413
95,194560,-0.003004,23.304133,0.559244,0.011120,0.1558
96,196608,0.003901,45.151250,0.561000,0.010147,0.1071
97,198656,0.002104,26.811891,0.584601,0.010891,0.1927
98,200704,0.002714,54.278177,0.581841,0.009539,0.0918
99,202752,0.003173,56.727860,0.591234,0.007274,0.0707
100,204800,0.009673,154.814726,0.520073,0.064794,0.1456
101,206848,0.006727,45.404383,0.617091,0.015430,0.1789
102,208896,0.016487,145.629506,0.535349,0.085398,0.2282
103,210944,0.015223,7.196601,0.560711,0.022987,0.1696
104,212992,-0.004945,27.642534,0.580216,0.011383,0.1349
105,215040,0.004876,15.245074,0.585981,0.013494,0.1518
106,217088,0.005422,91.545635,0.532421,0.031609,0.1631
107,219136,0.023814,4.814779,0.612684,0.017866,0.1554
108,221184,-0.001306,70.883534,0.534841,0.026934,0.1595
109,223232,0.001644,4.071105,0.592136,0.018790,0.2075
110,225280,-0.007825,30.015101,0.546957,0.013049,0.1492
111,227328,-0.002272,34.832262,0.566197,0.018413,0.1686
112,229376,0.010926,26.598935,0.591194,0.020232,0.1545
113,231424,-0.003644,31.788862,0.565077,0.016769,0.1197
114,233472,0.006965,78.644529,0.534536,0.038603,0.1855
115,235520,0.009673,37.809863,0.563610,0.012298,0.1199
116,237568,0.013927,3.234078,0.604252,0.018318,0.2523
117,239616,0.005037,124.415038,0.534796,0.027918,0.1215
118,241664,0.015083,48.306379,0.618706,0.022463,0.1389
119,243712,0.003974,12.784064,0.585776,0.010433,0.1592
120,245760,0.004660,176.463995,0.528503,0.047508,0.1758
