update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.020638,0.296354,0.691674,0.001428,0.0001
2,4096,-0.013284,0.111068,0.663212,0.008968,0.1299
3,6144,-0.002007,0.125529,0.638751,0.003947,0.0298
4,8192,-0.002311,0.161383,0.642009,0.003850,0.0292
5,10240,-0.011835,0.190832,0.657221,0.008158,0.1266
6,12288,-0.017439,0.218749,0.650655,0.011467,0.1970
7,14336,-0.018134,0.298908,0.630443,0.017119,0.3269
8,16384,-0.010084,0.391521,0.619554,0.011892,0.1694
9,18432,-0.010039,0.698513,0.606658,0.008316,0.1072
10,20480,-0.012019,0.655610,0.583159,0.004357,0.0435
11,22528,-0.006463,0.533639,0.561720,0.002892,0.0300
12,24576,-0.010253,0.605891,0.522379,0.011822,0.1649
13,26624,-0.016115,0.365617,0.507729,0.014767,0.1511
14,28672,-0.017426,0.356637,0.491211,0.018803,0.1822
15,30720,-0.007535,0.307831,0.491386,0.003764,0.0409
16,32768,-0.008230,0.380640,0.479170,0.007329,0.0878
17,34816,-0.006675,0.295917,0.467977,0.003092,0.0357
18,36864,-0.008311,0.236804,0.456455,0.004380,0.0604
19,38912,-0.009107,0.211969,0.434076,0.008417,0.0918
20,40960,-0.005959,0.264781,0.420710,0.004093,0.0483
21,43008,-0.004275,0.233177,0.407730,0.005134,0.0658
22,45056,-0.000857,0.208253,0.396685,0.004471,0.0533
23,47104,-0.003826,0.287998,0.384356,0.007832,0.1165
24,49152,-0.001966,0.245950,0.380974,0.001901,0.0171
25,51200,-0.001425,0.253569,0.361439,0.001189,0.0086
26,53248,-0.003756,0.257372,0.351244,0.003462,0.0472
27,55296,-0.001589,0.265239,0.346535,0.003034,0.0403
28,57344,-0.005423,0.255856,0.342772,0.008053,0.0900
29,59392,0.000209,0.276821,0.350687,0.001008,0.0072
30,61440,-0.005928,0.274719,0.348778,0.007929,0.1182
31,63488,-0.000509,0.279842,0.352792,0.001611,0.0185
32,65536,-0.000650,0.232386,0.348232,0.004698,0.0646
33,67584,-0.000822,0.197238,0.347239,0.002761,0.0406
34,69632,-0.005346,0.174742,0.343398,0.003270,0.0434
35,71680,-0.009551,0.160124,0.341729,0.016958,0.1890
36,73728,-0.006996,0.127170,0.343485,0.006148,0.0815
37,75776,-0.005317,0.100255,0.340465,0.007068,0.1140
38,77824,-0.004749,0.084565,0.335197,0.003877,0.0604
39,79872,-0.014698,0.067991,0.338876,0.014627,0.1614
40,81920,-0.007159,0.052851,0.348485,0.003882,0.0493
41,83968,-0.011341,0.061190,0.352928,0.009128,0.1027
42,86016,-0.003908,0.143572,0.367666,0.003591,0.0404
43,88064,-0.000457,0.244680,0.367315,0.000826,0.0077
44,90112,-0.006916,0.212374,0.367644,0.005407,0.0826
45,92160,-0.010002,0.121895,0.379016,0.007770,0.1138
46,94208,-0.004102,0.160144,0.398904,0.004016,0.0503
47,96256,-0.030580,0.041450,0.420290,0.020205,0.2163
48,98304,-0.007551,0.066970,0.441829,0.004016,0.0584
49,100352,-0.008221,0.119091,0.444487,0.004038,0.0566
50,102400,-0.002541,0.110240,0.464222,0.003002,0.0311
51,104448,-0.002954,0.165941,0.468528,0.003200,0.0417
52,106496,-0.004790,0.205998,0.469842,0.007874,0.1053
53,108544,-0.001980,0.336910,0.475568,0.001835,0.0082
54,110592,-0.003707,0.517104,0.463362,0.003347,0.0452
55,112640,-0.002015,0.512914,0.471025,0.005581,0.0868
56,114688,-0.002666,0.551781,0.477455,0.005295,0.0792
57,116736,-0.003991,0.221499,0.484506,0.005561,0.0762
58,118784,-0.012011,0.121701,0.476023,0.007292,0.1151
59,120832,-0.007367,0.736851,0.467554,0.015235,0.2141
60,122880,-0.004091,1.161306,0.472400,0.006216,0.0887
61,124928,-0.001018,1.178737,0.462013,0.001610,0.0057
62,126976,-0.001503,0.790856,0.467048,0.004175,0.0520
63,129024,-0.001957,2.135475,0.447437,0.006429,0.0987
64,131072,-0.001967,0.819274,0.457401,0.005530,0.0730
65,133120,-0.000665,1.260860,0.458580,0.001707,0.0167
66,135168,-0.000880,2.256889,0.455421,0.003510,0.0386
67,137216,-0.001295,3.811212,0.444640,0.008357,0.1332
68,139264,-0.002033,4.907286,0.436462,0.002688,0.0279
69,141312,-0.000179,5.011620,0.432923,0.001302,0.0133
70,143360,-0.006497,4.143032,0.440064,0.015810,0.2287
71,145408,-0.001882,9.347155,0.435548,0.003319,0.0467
72,147456,-0.003106,6.362546,0.421179,0.003969,0.0589
73,149504,-0.006393,2.186373,0.436347,0.004454,0.0712
74,151552,-0.015627,1.826854,0.432618,0.011462,0.1609
75,153600,-0.040993,0.518350,0.442091,0.030080,0.2951
76,155648,-0.042804,0.078899,0.450040,0.019042,0.2462
77,157696,-0.011210,0.129916,0.451087,0.005866,0.0784
78,159744,-0.003731,0.118251,0.443552,0.001528,0.0096
79,161792,-0.008202,0.055110,0.456319,0.006454,0.0866
80,163840,-0.006722,0.053343,0.470177,0.004452,0.0344
81,165888,-0.003468,0.112136,0.462689,0.003504,0.0459
82,167936,-0.007986,0.096190,0.469725,0.005994,0.0787
83,169984,-0.005677,0.426772,0.459106,0.006395,0.0904
84,172032,-0.007899,0.223310,0.467467,0.006348,0.0876
85,174080,-0.018166,0.158477,0.464719,0.009261,0.1524
86,176128,-0.014116,0.239450,0.458000,0.012284,0.1939
87,178176,-0.010927,0.349700,0.471007,0.009209,0.1531
88,180224,-0.011781,0.465984,0.453754,0.014043,0.2119
89,182272,-0.012630,0.384466,0.454166,0.012203,0.2039
90,184320,-0.018793,0.462581,0.441817,0.015320,0.1957
91,186368,-0.009837,0.713680,0.447075,0.019502,0.2576
92,188416,-0.002145,0.634340,0.455596,0.004117,0.0513
93,190464,-0.009158,0.879646,0.452410,0.012811,0.1988
94,192512,-0.002409,0.729969,0.440051,0.004261,0.0622
95,194560,-0.002275,1.139035,0.428412,0.009281,0.1488
96,196608,-0.008401,1.568328,0.431258,0.023390,0.2679
97,198656,-0.004481,2.303468,0.428372,0.011255,0.1644
98,200704,-0.000384,2.770047,0.416078,0.004553,0.0749
99,202752,-0.004757,2.865527,0.410930,0.010383,0.1597
100,204800,-0.000190,3.096564,0.417851,0.004524,0.0738
101,206848,-0.002096,4.066693,0.419720,0.006566,0.1018
102,208896,-0.005564,3.370558,0.403780,0.023211,0.2747
103,210944,-0.001277,3.149944,0.418452,0.016475,0.2288
104,212992,-0.000020,3.406162,0.419059,0.002809,0.0355
105,215040,-0.002385,3.505636,0.418185,0.006405,0.0946
106,217088,-0.000135,3.479902,0.422657,0.002450,0.0297
107,219136,-0.004421,3.278841,0.415713,0.004372,0.0641
108,221184,-0.000177,3.244664,0.425869,0.005632,0.0912
109,223232,-0.002563,3.498554,0.419267,0.003777,0.0487
110,225280,0.000120,3.587864,0.417390,0.001024,0.0019
111,227328,-0.000298,4.696446,0.416915,0.003590,0.0493
112,229376,-0.006009,3.776967,0.417250,0.014193,0.2055
113,231424,-0.001065,3.619364,0.421651,0.002183,0.0204
114,233472,-0.001324,3.391556,0.423105,0.004923,0.0806
115,235520,-0.001403,3.785514,0.419749,0.001830,0.0180
116,237568,-0.000161,3.618307,0.423274,0.004507,0.0792
117,239616,-0.001634,3.840937,0.419113,0.001642,0.0041
118,241664,-0.003629,3.845567,0.430827,0.009816,0.1591
119,243712,0.000467,5.189183,0.475322,0.003479,0.0472
120,245760,-0.003245,6.270097,0.513661,0.014408,0.2159
121,247808,-0.001051,3.842514,0.408506,0.001822,0.0229
122,249856,-0.000961,4.171745,0.410898,0.005030,0.0750
123,251904,-0.002198,3.755198,0.404107,0.009300,0.1456
124,253952,-0.002239,4.204107,0.419502,0.011530,0.1655
125,256000,-0.000446,3.802215,0.412982,0.002074,0.0163
126,258048,0.000560,3.970238,0.428064,0.004877,0.0764
127,260096,-0.001818,4.500120,0.438792,0.011651,0.1989
128,262144,-0.001205,6.724245,0.489463,0.007467,0.1126
129,264192,-0.001244,4.355953,0.414633,0.008167,0.1359
130,266240,-0.000691,4.677419,0.435396,0.002452,0.0280
131,268288,-0.000386,4.357573,0.441797,0.005595,0.0783
132,270336,-0.000887,4.627823,0.499452,0.007144,0.1102
133,272384,-0.004264,5.751137,0.437340,0.011299,0.1636
134,274432,-0.003289,4.724615,0.496633,0.009841,0.1408
135,276480,-0.000635,5.632072,0.539629,0.006903,0.1038
136,278528,0.001009,8.917704,0.549326,0.008351,0.1217
137,280576,-0.003974,9.112028,0.555791,0.014916,0.2084
138,282624,0.000152,6.907730,0.548263,0.003034,0.0145
139,284672,-0.001108,5.262465,0.565787,0.007383,0.1099
140,286720,0.000084,9.611745,0.550540,0.001558,0.0138
141,288768,-0.004659,5.620293,0.527196,0.020401,0.3061
142,290816,-0.001625,3.718988,0.529752,0.004803,0.0488
143,292864,-0.000922,3.863965,0.526165,0.002260,0.0137
144,294912,-0.000954,3.091189,0.530194,0.000280,0.0001
145,296960,-0.000545,2.717714,0.507312,0.002784,0.0199
146,299008,-0.009112,3.105852,0.511819,0.012002,0.2062
147,301056,-0.006096,3.031090,0.508018,0.012807,0.1809
148,303104,-0.000016,2.142936,0.510219,0.003389,0.0415
149,305152,-0.002251,3.201152,0.498339,0.001232,0.0067
150,307200,-0.006970,3.587220,0.488207,0.005081,0.0692
151,309248,-0.004196,5.487175,0.447756,0.004460,0.0647
152,311296,-0.000494,5.476842,0.435690,0.002146,0.0158
153,313344,-0.002101,5.530136,0.417808,0.020040,0.2462
154,315392,-0.002787,5.672701,0.473066,0.009268,0.1411
155,317440,-0.000309,3.717688,0.494039,0.010278,0.1692
156,319488,-0.003245,5.709230,0.471192,0.004440,0.0589
157,321536,-0.001579,5.524242,0.419833,0.014882,0.2133
158,323584,-0.007036,5.177490,0.411909,0.027045,0.2922
159,325632,-0.000063,4.294091,0.434787,0.000349,0.0000
160,327680,-0.002101,3.961539,0.433874,0.005424,0.0905
161,329728,-0.004363,2.906317,0.450602,0.010696,0.1634
162,331776,-0.000242,4.328154,0.438967,0.008177,0.1362
163,333824,-0.002279,5.571056,0.454774,0.018315,0.2535
164,335872,-0.005563,2.838473,0.513362,0.007177,0.0756
165,337920,-0.005676,2.540872,0.516730,0.003817,0.0490
166,339968,-0.001520,3.371818,0.498634,0.001110,0.0097
167,342016,-0.001022,5.530151,0.493010,0.006212,0.1036
168,344064,-0.000446,5.961514,0.477067,0.002706,0.0190
169,346112,-0.001542,5.936097,0.481466,0.006201,0.0952
170,348160,-0.002183,6.100505,0.446966,0.004230,0.0526
171,350208,-0.000384,5.819072,0.453692,0.001693,0.0083
172,352256,-0.000847,5.946207,0.462014,0.006287,0.1062
173,354304,-0.000248,4.786237,0.455643,0.003309,0.0367
174,356352,-0.004307,3.494926,0.449333,0.011707,0.1657
175,358400,-0.004532,0.604182,0.474575,0.007652,0.1129
176,360448,-0.001771,4.693228,0.458188,0.009196,0.1452
177,362496,-0.002411,4.470650,0.473083,0.009817,0.1430
178,364544,-0.002171,1.790415,0.516394,0.003372,0.0354
179,366592,-0.001158,5.057444,0.511617,0.002447,0.0301
180,368640,-0.002805,4.087131,0.488423,0.012782,0.2103
181,370688,-0.003341,2.548767,0.515384,0.005464,0.0704
182,372736,-0.002810,4.380911,0.507485,0.007934,0.1311
183,374784,-0.006288,5.254758,0.497739,0.009217,0.1453
184,376832,-0.012123,0.896705,0.506669,0.007195,0.0972
185,378880,-0.011182,2.846170,0.504360,0.006845,0.0827
186,380928,-0.007256,3.642175,0.509214,0.005852,0.0736
187,382976,-0.008184,1.660155,0.515802,0.009375,0.1354
188,385024,-0.004157,2.891042,0.518464,0.007723,0.1046
189,387072,0.000266,5.251322,0.504777,0.002547,0.0129
190,389120,-0.002879,6.288723,0.497674,0.011988,0.1956
191,391168,-0.001511,4.897491,0.501303,0.005339,0.0594
192,393216,-0.001575,6.388890,0.502097,0.002165,0.0146
193,395264,-0.004807,5.658506,0.497112,0.015511,0.2542
