update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-8.809896,44.828531,0.686935,0.006300,0.0984
2,4096,-9.663803,49.307472,0.676670,0.002109,0.0118
3,6144,-10.078132,49.370925,0.669568,0.002016,0.0131
4,8192,-7.517942,34.172944,0.670043,0.003441,0.0187
5,10240,-6.046027,29.518754,0.669524,0.006216,0.0215
6,12288,-2.623830,24.050284,0.648489,0.013748,0.1437
7,14336,-1.852204,31.568249,0.656970,0.002610,0.0072
8,16384,-3.003629,34.909122,0.637918,0.005122,0.0167
9,18432,-2.447843,41.244381,0.641056,0.006337,0.0401
10,20480,-4.419769,45.835297,0.640930,0.003565,0.0225
11,22528,-2.518492,52.079744,0.635188,0.005860,0.0274
12,24576,-3.316260,52.074096,0.627458,0.002350,0.0100
13,26624,-5.048839,54.473753,0.637147,0.003824,0.0182
14,28672,-0.506087,60.365195,0.611138,0.006743,0.0501
15,30720,-3.886694,59.246286,0.621038,0.003497,0.0208
16,32768,-3.512339,56.805498,0.612500,0.006112,0.0291
17,34816,-2.692888,63.057991,0.612344,0.007253,0.0598
18,36864,-4.504865,54.249359,0.615136,0.004849,0.0379
19,38912,-2.161709,67.160064,0.603145,0.006990,0.0774
20,40960,-2.465292,51.708908,0.599012,0.012178,0.0635
21,43008,-4.209485,46.964743,0.616511,0.002732,0.0172
22,45056,-0.248504,65.079168,0.584325,0.007174,0.0549
23,47104,-4.531661,42.531900,0.618061,0.001264,0.0045
24,49152,-3.222652,52.958658,0.608790,0.002673,0.0106
25,51200,-1.364180,57.841747,0.587788,0.008445,0.0884
26,53248,-2.726493,43.011738,0.593015,0.001650,0.0074
27,55296,-0.823698,54.658850,0.571773,0.008460,0.1014
28,57344,1.569084,75.886147,0.547720,0.011557,0.1103
29,59392,-3.090405,27.579710,0.577616,0.004358,0.0499
30,61440,-3.863394,32.828733,0.598652,0.004557,0.0480
31,63488,-0.577009,54.161762,0.570914,0.008926,0.0986
32,65536,-2.010052,25.131804,0.574208,0.002546,0.0271
33,67584,0.916691,45.877925,0.551138,0.010132,0.0557
34,69632,-2.258439,26.070713,0.580153,0.005711,0.0631
35,71680,-0.863792,38.637814,0.581582,0.001529,0.0091
36,73728,-1.934703,32.522475,0.571813,0.004501,0.0218
37,75776,-0.868688,45.591587,0.577622,0.010722,0.0877
38,77824,-2.707298,22.992699,0.588488,0.015100,0.1122
39,79872,-0.675709,35.948866,0.563104,0.006809,0.0648
40,81920,-1.974646,4.607448,0.558922,0.003970,0.0506
41,83968,1.258736,56.535593,0.558310,0.014092,0.0878
42,86016,-2.146666,22.173915,0.578989,0.008127,0.0856
43,88064,-0.987031,23.161991,0.559779,0.002049,0.0195
44,90112,-1.699465,19.650464,0.552376,0.008057,0.1160
45,92160,-2.743854,4.441515,0.590015,0.003130,0.0301
46,94208,5.184203,108.245318,0.549821,0.035842,0.2066
47,96256,0.716102,36.441999,0.544056,0.009988,0.1048
48,98304,-2.436928,6.535342,0.567744,0.006909,0.0757
49,100352,0.159136,44.948013,0.564962,0.017784,0.1684
50,102400,-1.592935,13.529106,0.576436,0.014436,0.1643
51,104448,-0.646138,9.588206,0.577036,0.006423,0.0771
52,106496,2.796041,69.619728,0.549937,0.011380,0.0968
53,108544,-1.681223,3.317080,0.578188,0.008165,0.1027
54,110592,-1.569449,20.812813,0.587279,0.003581,0.0232
55,112640,-0.683399,34.657413,0.579480,0.007565,0.0905
56,114688,-0.681932,17.313066,0.553595,0.004479,0.0459
57,116736,-2.777505,4.874947,0.579911,0.006601,0.0716
58,118784,-1.608215,13.430121,0.568679,0.001968,0.0199
59,120832,1.355861,86.966669,0.548390,0.009152,0.0718
60,122880,-1.464021,11.907774,0.541574,0.003709,0.0456
61,124928,-2.207091,16.166736,0.586937,0.005924,0.0648
62,126976,-1.106112,47.050915,0.563644,0.005340,0.0584
63,129024,-1.721292,40.178487,0.585036,0.002329,0.0166
64,131072,-2.013419,49.772487,0.554318,0.003782,0.0366
65,133120,0.490686,79.416830,0.569844,0.003165,0.0262
66,135168,-0.884907,58.436407,0.573803,0.003479,0.0290
67,137216,-1.323043,49.777266,0.580007,0.001816,0.0140
68,139264,-0.417851,62.925018,0.572143,0.003262,0.0229
69,141312,-0.418407,62.479476,0.585639,0.003887,0.0485
70,143360,-0.340850,60.605441,0.564952,0.003059,0.0216
71,145408,-0.271106,54.805686,0.567031,0.010888,0.1420
72,147456,0.271537,47.442843,0.560718,0.005895,0.0889
73,149504,0.329651,65.821273,0.556015,0.003916,0.0264
74,151552,0.528967,38.581182,0.552890,0.005251,0.0630
75,153600,-0.229012,57.240684,0.577965,0.002610,0.0271
76,155648,0.602843,77.567854,0.568165,0.004042,0.0433
77,157696,-0.686744,53.367273,0.575749,0.002525,0.0145
78,159744,-0.570333,54.144790,0.585065,0.001796,0.0155
79,161792,0.858552,68.325273,0.554239,0.008955,0.0646
80,163840,0.079044,59.051668,0.560616,0.005443,0.0802
81,165888,-0.433994,54.826230,0.574984,0.004241,0.0434
82,167936,0.521790,76.482270,0.565619,0.005310,0.0542
83,169984,1.843298,92.149479,0.570239,0.006691,0.0627
84,172032,-0.784993,53.731155,0.570895,0.005201,0.0671
85,174080,0.551851,62.518935,0.553125,0.004714,0.0668
86,176128,3.403865,62.190385,0.546495,0.001731,0.0122
87,178176,4.101714,116.207735,0.534030,0.009821,0.1546
88,180224,-0.351533,42.578413,0.547102,0.001924,0.0179
89,182272,-1.056381,53.365960,0.566272,0.003470,0.0305
90,184320,1.408136,91.471410,0.531968,0.008247,0.0812
91,186368,-0.947146,52.247255,0.564559,0.003189,0.0383
92,188416,4.893560,76.759764,0.546632,0.005379,0.0614
93,190464,5.980251,68.732828,0.522539,0.013110,0.1461
94,192512,-0.454815,60.706686,0.545576,0.003866,0.0468
95,194560,-0.686253,59.326099,0.553194,0.002981,0.0269
96,196608,-0.777100,47.351894,0.548514,0.001099,0.0032
97,198656,1.854820,74.918951,0.532553,0.005838,0.0959
98,200704,-0.819020,59.708630,0.533530,0.002550,0.0225
99,202752,-0.902686,52.497229,0.556689,0.006965,0.0963
100,204800,0.345029,64.225378,0.535348,0.006155,0.0866
101,206848,0.927152,57.633305,0.544135,0.008283,0.1087
102,208896,1.343919,50.817890,0.530731,0.004182,0.0496
103,210944,-1.509301,36.321391,0.550570,0.004122,0.0522
104,212992,-0.150833,57.330912,0.548568,0.008668,0.0966
105,215040,0.095209,55.977155,0.564158,0.005041,0.0532
106,217088,-0.266717,55.949945,0.568391,0.002604,0.0146
107,219136,1.649953,74.714052,0.537901,0.011990,0.0790
108,221184,-1.049838,26.302675,0.550717,0.014941,0.1617
109,223232,0.696414,80.172209,0.545676,0.003449,0.0325
110,225280,-0.709448,52.495771,0.542352,0.002622,0.0272
111,227328,-0.444232,52.577618,0.551735,0.004607,0.0598
112,229376,-0.230082,49.772629,0.566068,0.003145,0.0294
113,231424,-0.126180,53.778678,0.558496,0.004504,0.0562
114,233472,0.693952,72.157523,0.536461,0.004842,0.0560
115,235520,0.644970,65.923736,0.528133,0.006617,0.0742
116,237568,0.302255,55.661508,0.551357,0.003971,0.0490
117,239616,-0.262922,54.026812,0.541728,0.002332,0.0146
118,241664,-0.243625,53.209050,0.564302,0.003230,0.0419
119,243712,0.402111,57.955192,0.553482,0.008105,0.1155
120,245760,-0.169629,51.646309,0.558338,0.006866,0.0912
121,247808,0.323314,61.838149,0.545380,0.004267,0.0362
122,249856,-0.388989,50.737679,0.560742,0.006696,0.0946
123,251904,0.342151,62.974495,0.542539,0.008972,0.1221
124,253952,-0.404221,50.884117,0.545887,0.005662,0.0731
125,256000,-0.307393,53.741085,0.539862,0.002415,0.0152
126,258048,-0.283925,51.766765,0.532448,0.005265,0.0664
127,260096,1.208789,67.684130,0.551523,0.006176,0.0815
128,262144,-0.403024,51.498621,0.556245,0.002925,0.0273
129,264192,0.245098,66.005114,0.533393,0.003987,0.0458
130,266240,-0.485454,48.609336,0.541896,0.004447,0.0451
131,268288,0.071350,62.388826,0.552629,0.005056,0.0621
132,270336,-0.237036,51.222386,0.549404,0.003066,0.0246
133,272384,-0.346846,50.193165,0.550210,0.009987,0.1496
134,274432,-0.272046,53.367645,0.558112,0.004215,0.0503
135,276480,-0.172595,52.643395,0.558744,0.001370,0.0100
136,278528,2.649425,97.483307,0.530336,0.012663,0.1430
137,280576,-0.356597,52.586565,0.550607,0.004366,0.0554
138,282624,-0.350390,51.692533,0.579803,0.004897,0.0637
139,284672,0.528357,60.815386,0.555386,0.001543,0.0061
140,286720,-0.335328,50.728471,0.549983,0.007092,0.1035
141,288768,-0.115186,51.481305,0.555502,0.002404,0.0301
142,290816,-0.202633,54.487733,0.533398,0.003849,0.0431
143,292864,0.456922,62.281240,0.554903,0.002627,0.0280
144,294912,-0.288793,51.700878,0.558814,0.005435,0.0526
145,296960,-0.327757,48.435550,0.539013,0.009501,0.1292
146,299008,0.867833,75.786505,0.557184,0.004167,0.0364
147,301056,-0.317267,51.083916,0.541702,0.001705,0.0114
148,303104,-0.290738,49.142916,0.554947,0.004179,0.0497
149,305152,1.795894,82.109072,0.541592,0.004763,0.0537
150,307200,0.614858,74.613203,0.541485,0.005554,0.0548
151,309248,-0.562214,48.334192,0.551797,0.007084,0.0720
152,311296,0.822505,62.774005,0.545986,0.002183,0.0235
153,313344,0.668709,62.084071,0.546568,0.003234,0.0327
