episode,step,return
1,44,44.0
2,69,25.0
3,82,13.0
4,100,18.0
5,114,14.0
6,150,36.0
7,166,16.0
8,182,16.0
9,217,35.0
10,233,16.0
11,249,16.0
12,268,19.0
13,292,24.0
14,314,22.0
15,324,10.0
16,336,12.0
17,375,39.0
18,394,19.0
19,427,33.0
20,451,24.0
21,465,14.0
22,516,51.0
23,535,19.0
24,546,11.0
25,575,29.0
26,589,14.0
27,610,21.0
28,622,12.0
29,637,15.0
30,656,19.0
31,669,13.0
32,713,44.0
33,728,15.0
34,755,27.0
35,764,9.0
36,782,18.0
37,805,23.0
38,830,25.0
39,842,12.0
40,857,15.0
41,866,9.0
42,904,38.0
43,914,10.0
44,977,63.0
45,989,12.0
46,1014,25.0
47,1040,26.0
48,1052,12.0
49,1071,19.0
50,1129,58.0
51,1138,9.0
52,1187,49.0
53,1231,44.0
54,1266,35.0
55,1297,31.0
56,1312,15.0
57,1338,26.0
58,1355,17.0
59,1367,12.0
60,1381,14.0
61,1396,15.0
62,1426,30.0
63,1452,26.0
64,1465,13.0
65,1477,12.0
66,1489,12.0
67,1523,34.0
68,1554,31.0
69,1608,54.0
70,1622,14.0
71,1637,15.0
72,1656,19.0
73,1676,20.0
74,1720,44.0
75,1737,17.0
76,1756,19.0
77,1782,26.0
78,1814,32.0
79,1825,11.0
80,1845,20.0
81,1871,26.0
82,1899,28.0
83,1927,28.0
84,1994,67.0
85,2033,39.0
86,2048,15.0
87,2067,19.0
88,2095,28.0
89,2161,66.0
90,2207,46.0
91,2232,25.0
92,2246,14.0
93,2287,41.0
94,2312,25.0
95,2338,26.0
96,2363,25.0
97,2377,14.0
98,2389,12.0
99,2406,17.0
100,2441,35.0
101,2459,18.0
102,2471,12.0
103,2486,15.0
104,2539,53.0
105,2558,19.0
106,2579,21.0
107,2625,46.0
108,2662,37.0
109,2688,26.0
110,2700,12.0
111,2727,27.0
112,2744,17.0
113,2768,24.0
114,2788,20.0
115,2803,15.0
116,2818,15.0
117,2872,54.0
118,2902,30.0
119,2933,31.0
120,2957,24.0
121,2991,34.0
122,3002,11.0
123,3015,13.0
124,3041,26.0
125,3056,15.0
126,3082,26.0
127,3143,61.0
128,3155,12.0
129,3188,33.0
130,3219,31.0
131,3250,31.0
132,3262,12.0
133,3297,35.0
134,3320,23.0
135,3342,22.0
136,3353,11.0
137,3444,91.0
138,3487,43.0
139,3545,58.0
140,3565,20.0
141,3594,29.0
142,3618,24.0
143,3638,20.0
144,3653,15.0
145,3695,42.0
146,3710,15.0
147,3756,46.0
148,3781,25.0
149,3820,39.0
150,3838,18.0
151,3872,34.0
152,3899,27.0
153,3930,31.0
154,3969,39.0
155,3996,27.0
156,4011,15.0
157,4027,16.0
158,4067,40.0
159,4080,13.0
160,4149,69.0
161,4181,32.0
162,4215,34.0
163,4249,34.0
164,4274,25.0
165,4291,17.0
166,4339,48.0
167,4356,17.0
168,4403,47.0
169,4439,36.0
170,4472,33.0
171,4522,50.0
172,4566,44.0
173,4635,69.0
174,4670,35.0
175,4687,17.0
176,4709,22.0
177,4748,39.0
178,4782,34.0
179,4817,35.0
180,4849,32.0
181,4873,24.0
182,4887,14.0
183,4926,39.0
184,4986,60.0
185,5039,53.0
186,5114,75.0
187,5137,23.0
188,5172,35.0
189,5188,16.0
190,5210,22.0
191,5288,78.0
192,5324,36.0
193,5341,17.0
194,5365,24.0
195,5385,20.0
196,5402,17.0
197,5421,19.0
198,5435,14.0
199,5469,34.0
200,5497,28.0
201,5530,33.0
202,5542,12.0
203,5611,69.0
204,5621,10.0
205,5688,67.0
206,5702,14.0
207,5731,29.0
208,5762,31.0
209,5780,18.0
210,5810,30.0
211,5832,22.0
212,5856,24.0
213,5904,48.0
214,5929,25.0
215,5993,64.0
216,6008,15.0
217,6031,23.0
218,6049,18.0
219,6124,75.0
220,6158,34.0
221,6173,15.0
222,6196,23.0
223,6268,72.0
224,6282,14.0
225,6314,32.0
226,6345,31.0
227,6359,14.0
228,6392,33.0
229,6405,13.0
230,6427,22.0
231,6441,14.0
232,6452,11.0
233,6488,36.0
234,6559,71.0
235,6588,29.0
236,6606,18.0
237,6620,14.0
238,6640,20.0
239,6659,19.0
240,6695,36.0
241,6752,57.0
242,6769,17.0
243,6787,18.0
244,6826,39.0
245,6836,10.0
246,6856,20.0
247,6879,23.0
248,6905,26.0
249,6941,36.0
250,6978,37.0
251,7006,28.0
252,7040,34.0
253,7066,26.0
254,7095,29.0
255,7114,19.0
256,7129,15.0
257,7165,36.0
258,7182,17.0
259,7244,62.0
260,7273,29.0
261,7312,39.0
262,7331,19.0
263,7361,30.0
264,7386,25.0
265,7436,50.0
266,7452,16.0
267,7470,18.0
268,7487,17.0
269,7583,96.0
270,7614,31.0
271,7635,21.0
272,7657,22.0
273,7673,16.0
274,7747,74.0
275,7784,37.0
276,7801,17.0
277,7826,25.0
278,7839,13.0
279,7858,19.0
280,7892,34.0
281,7975,83.0
282,7996,21.0
283,8077,81.0
284,8108,31.0
285,8137,29.0
286,8171,34.0
287,8185,14.0
288,8233,48.0
289,8246,13.0
290,8261,15.0
291,8271,10.0
292,8284,13.0
293,8306,22.0
294,8318,12.0
295,8334,16.0
296,8347,13.0
297,8371,24.0
298,8390,19.0
299,8431,41.0
300,8452,21.0
301,8482,30.0
302,8506,24.0
303,8568,62.0
304,8619,51.0
305,8632,13.0
306,8671,39.0
307,8696,25.0
308,8714,18.0
309,8742,28.0
310,8789,47.0
311,8801,12.0
312,8817,16.0
313,8840,23.0
314,8884,44.0
