update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.021290,47.206930,0.684535,0.008882,0.1362
2,4096,-0.010129,46.674428,0.668067,0.002847,0.0202
3,6144,-0.000049,44.530320,0.668603,0.004315,0.0613
4,8192,-0.018239,31.409245,0.635850,0.054665,0.4266
5,10240,-0.148188,4.871607,0.452117,0.635860,0.8175
6,12288,-0.042064,17.650343,0.259106,0.197843,0.2107
7,14336,-0.121366,3.649842,0.378620,0.603914,0.8114
8,16384,-0.070082,10.012029,0.481531,0.340476,0.5920
9,18432,-0.005772,35.026755,0.615243,0.011421,0.1499
10,20480,0.007963,37.648290,0.649534,0.004765,0.0496
11,22528,-0.002633,40.877671,0.646101,0.013421,0.2279
12,24576,-0.080495,34.038965,0.505018,0.248043,0.6903
13,26624,-0.073395,30.602948,0.473827,0.286418,0.5555
14,28672,-0.005910,48.102153,0.600800,0.014011,0.1706
15,30720,-0.037550,38.088477,0.534289,0.099676,0.5792
16,32768,-0.074039,39.203611,0.453858,0.217432,0.4924
17,34816,-0.017811,42.684010,0.564954,0.023280,0.2549
18,36864,-0.086647,33.157307,0.424621,0.236140,0.6271
19,38912,-0.058359,44.430182,0.416111,0.214698,0.4615
20,40960,-0.030910,40.584822,0.508332,0.071028,0.4114
21,43008,0.009111,47.488151,0.616025,0.012578,0.1334
22,45056,0.007736,51.335507,0.606508,0.040279,0.4536
23,47104,-0.076143,60.368223,0.495432,0.182987,0.5862
24,49152,-0.056816,47.312229,0.468923,0.151134,0.5762
25,51200,-0.090398,49.591677,0.395023,0.248643,0.5191
26,53248,0.008113,43.416867,0.614259,0.017191,0.1548
27,55296,-0.071812,58.553669,0.496817,0.204802,0.6514
28,57344,-0.046065,63.658878,0.459593,0.147520,0.3458
29,59392,0.008386,35.460995,0.569387,0.030917,0.2629
30,61440,-0.075754,44.791698,0.423007,0.228526,0.6449
31,63488,-0.089244,86.667031,0.306841,0.507690,0.4664
32,65536,0.009831,31.454798,0.543303,0.066893,0.4010
33,67584,-0.089933,58.448824,0.386798,0.233134,0.5656
34,69632,0.002805,30.812953,0.562590,0.029670,0.2449
35,71680,0.021157,30.952615,0.599695,0.042807,0.4377
36,73728,-0.082484,122.815345,0.488788,0.232664,0.5079
37,75776,-0.011336,34.761717,0.564354,0.025575,0.3328
38,77824,-0.040749,29.460926,0.452788,0.186393,0.5674
39,79872,-0.083901,139.603518,0.318094,0.431534,0.4402
40,81920,0.031986,20.813206,0.445031,0.231058,0.5153
41,83968,-0.029509,20.242337,0.471225,0.189415,0.4743
42,86016,-0.084331,133.835978,0.254619,0.468055,0.4094
43,88064,0.021012,19.292542,0.493266,0.081443,0.3826
44,90112,-0.079395,87.959527,0.363539,0.229741,0.4888
45,92160,0.009300,14.887696,0.584957,0.027492,0.2241
46,94208,-0.007418,18.310798,0.546834,0.068862,0.4008
47,96256,-0.078798,194.649844,0.367786,0.381934,0.3892
48,98304,-0.000020,15.708095,0.551423,0.055849,0.3847
49,100352,-0.066720,67.902328,0.449346,0.183861,0.6214
50,102400,-0.052691,171.779834,0.465010,0.210254,0.3529
51,104448,-0.002169,14.617043,0.542871,0.045250,0.2776
52,106496,0.020300,10.182846,0.486476,0.150513,0.4632
53,108544,-0.068535,233.812566,0.264409,0.454820,0.3812
54,110592,-0.097071,84.643020,0.287897,0.363688,0.4782
55,112640,0.003981,13.410991,0.478521,0.151499,0.5786
56,114688,-0.006225,31.294994,0.538600,0.050826,0.3447
57,116736,-0.032225,136.332082,0.470405,0.187274,0.3028
58,118784,0.003945,11.308871,0.549867,0.027529,0.2051
59,120832,-0.030510,45.936418,0.503829,0.082088,0.4208
60,122880,-0.043936,206.421644,0.408791,0.257931,0.3242
61,124928,0.013668,12.142507,0.531991,0.020456,0.2051
62,126976,-0.024091,31.453004,0.458293,0.231148,0.6301
63,129024,-0.086364,282.744359,0.308147,0.415273,0.3829
64,131072,0.023042,18.315278,0.526260,0.030082,0.2070
65,133120,-0.033050,53.423428,0.501972,0.100868,0.5533
66,135168,-0.044311,196.644510,0.405664,0.234146,0.3483
67,137216,0.001923,12.876070,0.510628,0.030381,0.1980
68,139264,-0.029636,36.254729,0.454521,0.173849,0.5526
69,141312,-0.014910,66.560358,0.424303,0.147889,0.5104
70,143360,0.011208,14.876451,0.530606,0.026164,0.2785
71,145408,0.004383,20.534540,0.577909,0.020212,0.1466
72,147456,-0.017616,86.021381,0.541347,0.039565,0.2973
73,149504,-0.025846,53.422991,0.499139,0.064859,0.3641
74,151552,0.003751,28.750887,0.534173,0.044065,0.3241
75,153600,-0.023556,58.684553,0.548636,0.073418,0.4169
76,155648,-0.049206,213.968763,0.381986,0.232822,0.3274
77,157696,0.001878,15.937001,0.438109,0.035564,0.2700
78,159744,-0.010691,26.687580,0.465972,0.061532,0.3236
79,161792,0.007371,37.887454,0.549040,0.079585,0.4544
80,163840,-0.008084,51.790032,0.556788,0.067251,0.3634
81,165888,-0.083246,289.448499,0.384345,0.257481,0.3917
82,167936,0.014073,49.602926,0.496189,0.115923,0.3344
83,169984,-0.035485,63.734548,0.491236,0.149918,0.4650
84,172032,-0.066027,311.829682,0.374944,0.307715,0.3333
85,174080,0.005937,31.142541,0.463874,0.031813,0.2140
86,176128,0.000291,32.668133,0.595081,0.045551,0.2722
87,178176,-0.020568,201.898500,0.489512,0.088826,0.2118
88,180224,0.008563,33.898697,0.602581,0.064379,0.4337
89,182272,-0.035285,277.161148,0.457445,0.139650,0.2927
90,184320,0.008734,39.442511,0.578012,0.033420,0.2931
91,186368,-0.035633,101.184631,0.516990,0.056028,0.3540
92,188416,-0.014506,59.027740,0.576813,0.043515,0.2915
93,190464,-0.001290,57.721049,0.552358,0.032847,0.2893
94,192512,-0.003733,45.098074,0.598969,0.034928,0.4277
95,194560,-0.030108,89.838825,0.526343,0.076307,0.4031
