episode,step,return
1,23,23.0
2,39,16.0
3,65,26.0
4,85,20.0
5,98,13.0
6,115,17.0
7,130,15.0
8,142,12.0
9,160,18.0
10,176,16.0
11,193,17.0
12,225,32.0
13,250,25.0
14,295,45.0
15,340,45.0
16,366,26.0
17,384,18.0
18,396,12.0
19,410,14.0
20,420,10.0
21,434,14.0
22,445,11.0
23,464,19.0
24,474,10.0
25,489,15.0
26,515,26.0
27,535,20.0
28,548,13.0
29,560,12.0
30,582,22.0
31,606,24.0
32,621,15.0
33,633,12.0
34,673,40.0
35,688,15.0
36,698,10.0
37,718,20.0
38,732,14.0
39,747,15.0
40,767,20.0
41,796,29.0
42,811,15.0
43,848,37.0
44,878,30.0
45,905,27.0
46,923,18.0
47,935,12.0
48,947,12.0
49,959,12.0
50,1006,47.0
51,1042,36.0
52,1059,17.0
53,1071,12.0
54,1085,14.0
55,1128,43.0
56,1138,10.0
57,1199,61.0
58,1230,31.0
59,1252,22.0
60,1279,27.0
61,1312,33.0
62,1352,40.0
63,1374,22.0
64,1398,24.0
65,1406,8.0
66,1419,13.0
67,1436,17.0
68,1466,30.0
69,1487,21.0
70,1517,30.0
71,1538,21.0
72,1547,9.0
73,1558,11.0
74,1591,33.0
75,1602,11.0
76,1613,11.0
77,1635,22.0
78,1710,75.0
79,1734,24.0
80,1759,25.0
81,1781,22.0
82,1799,18.0
83,1824,25.0
84,1844,20.0
85,1876,32.0
86,1904,28.0
87,1920,16.0
88,1933,13.0
89,1979,46.0
90,2016,37.0
91,2034,18.0
92,2045,11.0
93,2067,22.0
94,2115,48.0
95,2156,41.0
96,2179,23.0
97,2207,28.0
98,2243,36.0
99,2286,43.0
100,2298,12.0
101,2321,23.0
102,2385,64.0
103,2469,84.0
104,2486,17.0
105,2511,25.0
106,2550,39.0
107,2567,17.0
108,2610,43.0
109,2628,18.0
110,2667,39.0
111,2687,20.0
112,2699,12.0
113,2743,44.0
114,2763,20.0
115,2783,20.0
116,2794,11.0
117,2841,47.0
118,2855,14.0
119,2871,16.0
120,2925,54.0
121,2945,20.0
122,2998,53.0
123,3046,48.0
124,3097,51.0
125,3128,31.0
126,3156,28.0
127,3170,14.0
128,3199,29.0
129,3224,25.0
130,3244,20.0
131,3263,19.0
132,3286,23.0
133,3366,80.0
134,3383,17.0
135,3407,24.0
136,3417,10.0
137,3481,64.0
138,3524,43.0
139,3537,13.0
140,3644,107.0
141,3664,20.0
142,3683,19.0
143,3702,19.0
144,3714,12.0
145,3731,17.0
146,3746,15.0
147,3799,53.0
148,3835,36.0
149,3851,16.0
150,3869,18.0
151,3901,32.0
152,3958,57.0
153,3988,30.0
154,4008,20.0
155,4022,14.0
156,4054,32.0
157,4076,22.0
158,4126,50.0
159,4150,24.0
160,4178,28.0
161,4195,17.0
162,4255,60.0
163,4295,40.0
164,4354,59.0
165,4372,18.0
166,4384,12.0
167,4403,19.0
168,4452,49.0
169,4472,20.0
170,4493,21.0
171,4522,29.0
172,4537,15.0
173,4560,23.0
174,4583,23.0
175,4622,39.0
176,4645,23.0
177,4703,58.0
178,4739,36.0
179,4759,20.0
180,4794,35.0
181,4845,51.0
182,4915,70.0
183,4944,29.0
184,4965,21.0
185,4984,19.0
186,5021,37.0
187,5041,20.0
188,5058,17.0
189,5075,17.0
190,5087,12.0
191,5119,32.0
192,5142,23.0
193,5168,26.0
194,5207,39.0
195,5248,41.0
196,5294,46.0
197,5307,13.0
198,5328,21.0
199,5347,19.0
200,5366,19.0
201,5386,20.0
202,5427,41.0
203,5466,39.0
204,5490,24.0
205,5508,18.0
206,5533,25.0
207,5549,16.0
208,5572,23.0
209,5584,12.0
210,5617,33.0
211,5661,44.0
212,5696,35.0
213,5720,24.0
214,5759,39.0
215,5793,34.0
216,5814,21.0
217,5843,29.0
218,5855,12.0
219,5892,37.0
220,5940,48.0
221,5954,14.0
222,6008,54.0
223,6026,18.0
224,6052,26.0
225,6103,51.0
226,6164,61.0
227,6181,17.0
228,6204,23.0
229,6237,33.0
230,6248,11.0
231,6261,13.0
232,6275,14.0
233,6290,15.0
234,6308,18.0
235,6342,34.0
236,6398,56.0
237,6438,40.0
238,6463,25.0
239,6509,46.0
240,6525,16.0
241,6567,42.0
242,6590,23.0
243,6612,22.0
244,6634,22.0
245,6659,25.0
246,6674,15.0
247,6687,13.0
248,6708,21.0
249,6744,36.0
250,6781,37.0
251,6834,53.0
252,6896,62.0
253,6911,15.0
254,6943,32.0
255,6960,17.0
256,6978,18.0
257,7001,23.0
258,7021,20.0
259,7036,15.0
260,7064,28.0
261,7108,44.0
262,7122,14.0
263,7205,83.0
264,7218,13.0
265,7270,52.0
266,7314,44.0
267,7332,18.0
268,7362,30.0
269,7391,29.0
270,7415,24.0
271,7437,22.0
272,7455,18.0
273,7475,20.0
274,7533,58.0
275,7556,23.0
276,7573,17.0
277,7603,30.0
278,7649,46.0
279,7661,12.0
280,7694,33.0
281,7706,12.0
282,7716,10.0
283,7751,35.0
284,7769,18.0
285,7792,23.0
286,7810,18.0
287,7820,10.0
288,7870,50.0
289,7896,26.0
290,7909,13.0
291,7942,33.0
292,7956,14.0
293,7978,22.0
294,7995,17.0
295,8010,15.0
296,8023,13.0
297,8046,23.0
298,8079,33.0
299,8104,25.0
300,8181,77.0
301,8192,11.0
302,8202,10.0
303,8211,9.0
304,8224,13.0
305,8234,10.0
306,8247,13.0
307,8259,12.0
308,8269,10.0
309,8282,13.0
310,8291,9.0
311,8301,10.0
312,8312,11.0
313,8321,9.0
314,8332,11.0
315,8344,12.0
316,8353,9.0
317,8363,10.0
318,8381,18.0
319,8389,8.0
320,8398,9.0
321,8408,10.0
322,8420,12.0
323,8429,9.0
324,8444,15.0
325,8452,8.0
326,8462,10.0
327,8473,11.0
328,8481,8.0
329,8493,12.0
330,8502,9.0
331,8512,10.0
332,8522,10.0
333,8532,10.0
334,8541,9.0
335,8553,12.0
336,8563,10.0
337,8579,16.0
338,8590,11.0
339,8600,10.0
340,8609,9.0
341,8620,11.0
342,8632,12.0
343,8650,18.0
344,8660,10.0
345,8672,12.0
346,8686,14.0
347,8697,11.0
348,8705,8.0
349,8719,14.0
350,8733,14.0
351,8745,12.0
352,8757,12.0
353,8773,16.0
354,8784,11.0
355,8798,14.0
356,8807,9.0
357,8816,9.0
358,8830,14.0
359,8843,13.0
360,8851,8.0
361,8869,18.0
362,8880,11.0
363,8898,18.0
364,8913,15.0
365,8923,10.0
366,8934,11.0
367,8957,23.0
368,8965,8.0
369,8974,9.0
370,8983,9.0
371,8996,13.0
372,9006,10.0
373,9015,9.0
374,9024,9.0
375,9036,12.0
376,9046,10.0
377,9065,19.0
378,9077,12.0
379,9091,14.0
380,9103,12.0
381,9114,11.0
382,9127,13.0
383,9135,8.0
384,9144,9.0
385,9156,12.0
386,9167,11.0
387,9181,14.0
388,9196,15.0
389,9208,12.0
390,9218,10.0
391,9228,10.0
392,9251,23.0
393,9261,10.0
394,9278,17.0
395,9296,18.0
396,9307,11.0
397,9321,14.0
398,9332,11.0
399,9343,11.0
400,9356,13.0
401,9370,14.0
402,9381,11.0
403,9397,16.0
404,9412,15.0
405,9422,10.0
406,9432,10.0
407,9447,15.0
408,9457,10.0
409,9465,8.0
410,9474,9.0
411,9488,14.0
412,9500,12.0
413,9510,10.0
414,9526,16.0
415,9537,11.0
416,9552,15.0
417,9571,19.0
418,9588,17.0
419,9599,11.0
420,9612,13.0
421,9622,10.0
422,9634,12.0
423,9652,18.0
424,9664,12.0
425,9673,9.0
426,9686,13.0
427,9703,17.0
428,9716,13.0
429,9727,11.0
430,9740,13.0
431,9752,12.0
432,9763,11.0
433,9774,11.0
434,9786,12.0
435,9798,12.0
436,9816,18.0
437,9824,8.0
438,9847,23.0
439,9859,12.0
440,9870,11.0
441,9886,16.0
442,9895,9.0
443,9908,13.0
444,9919,11.0
445,9932,13.0
446,9942,10.0
447,9955,13.0
448,9972,17.0
449,9981,9.0
450,9989,8.0
451,10003,14.0
452,10018,15.0
453,10036,18.0
454,10051,15.0
455,10062,11.0
456,10074,12.0
457,10083,9.0
