episode,step,return
1,32,32.0
2,64,32.0
3,96,32.0
4,110,14.0
5,154,44.0
6,179,25.0
7,198,19.0
8,250,52.0
9,273,23.0
10,290,17.0
11,302,12.0
12,330,28.0
13,342,12.0
14,371,29.0
15,391,20.0
16,441,50.0
17,467,26.0
18,527,60.0
19,539,12.0
20,563,24.0
21,592,29.0
22,606,14.0
23,628,22.0
24,643,15.0
25,663,20.0
26,694,31.0
27,710,16.0
28,743,33.0
29,762,19.0
30,776,14.0
31,808,32.0
32,824,16.0
33,853,29.0
34,878,25.0
35,898,20.0
36,907,9.0
37,929,22.0
38,945,16.0
39,964,19.0
40,995,31.0
41,1019,24.0
42,1035,16.0
43,1063,28.0
44,1079,16.0
45,1095,16.0
46,1111,16.0
47,1129,18.0
48,1147,18.0
49,1169,22.0
50,1179,10.0
51,1274,95.0
52,1289,15.0
53,1305,16.0
54,1326,21.0
55,1340,14.0
56,1356,16.0
57,1373,17.0
58,1382,9.0
59,1398,16.0
60,1423,25.0
61,1438,15.0
62,1452,14.0
63,1531,79.0
64,1552,21.0
65,1567,15.0
66,1587,20.0
67,1606,19.0
68,1620,14.0
69,1635,15.0
70,1664,29.0
71,1673,9.0
72,1693,20.0
73,1722,29.0
74,1738,16.0
75,1766,28.0
76,1816,50.0
77,1835,19.0
78,1861,26.0
79,1877,16.0
80,1899,22.0
81,1923,24.0
82,1933,10.0
83,1960,27.0
84,1993,33.0
85,2003,10.0
86,2019,16.0
87,2031,12.0
88,2044,13.0
89,2076,32.0
90,2148,72.0
91,2165,17.0
92,2175,10.0
93,2202,27.0
94,2257,55.0
95,2312,55.0
96,2332,20.0
97,2350,18.0
98,2370,20.0
99,2388,18.0
100,2412,24.0
101,2423,11.0
102,2443,20.0
103,2480,37.0
104,2490,10.0
105,2515,25.0
106,2549,34.0
107,2599,50.0
108,2676,77.0
109,2705,29.0
110,2726,21.0
111,2746,20.0
112,2769,23.0
113,2784,15.0
114,2813,29.0
115,2823,10.0
116,2861,38.0
117,2895,34.0
118,2942,47.0
119,2953,11.0
120,2967,14.0
121,3002,35.0
122,3080,78.0
123,3095,15.0
124,3122,27.0
125,3137,15.0
126,3217,80.0
127,3239,22.0
128,3266,27.0
129,3281,15.0
130,3335,54.0
131,3344,9.0
132,3354,10.0
133,3373,19.0
134,3401,28.0
135,3498,97.0
136,3531,33.0
137,3546,15.0
138,3567,21.0
139,3593,26.0
140,3615,22.0
141,3646,31.0
142,3665,19.0
143,3729,64.0
144,3747,18.0
145,3774,27.0
146,3789,15.0
147,3821,32.0
148,3840,19.0
149,3877,37.0
150,3904,27.0
151,3925,21.0
152,3950,25.0
153,3972,22.0
154,4006,34.0
155,4017,11.0
156,4047,30.0
157,4083,36.0
158,4097,14.0
159,4107,10.0
160,4119,12.0
161,4197,78.0
162,4221,24.0
163,4242,21.0
164,4291,49.0
165,4303,12.0
166,4329,26.0
167,4344,15.0
168,4371,27.0
169,4384,13.0
170,4410,26.0
171,4426,16.0
172,4464,38.0
173,4474,10.0
174,4522,48.0
175,4545,23.0
176,4558,13.0
177,4593,35.0
178,4615,22.0
179,4638,23.0
180,4691,53.0
181,4712,21.0
182,4759,47.0
183,4810,51.0
184,4892,82.0
185,4912,20.0
186,4936,24.0
187,4952,16.0
188,4982,30.0
189,5005,23.0
190,5057,52.0
191,5119,62.0
192,5139,20.0
193,5220,81.0
194,5267,47.0
195,5281,14.0
196,5296,15.0
197,5352,56.0
198,5368,16.0
199,5390,22.0
200,5422,32.0
201,5439,17.0
202,5465,26.0
203,5482,17.0
204,5495,13.0
205,5515,20.0
206,5529,14.0
207,5590,61.0
208,5610,20.0
209,5642,32.0
210,5662,20.0
211,5683,21.0
212,5725,42.0
213,5741,16.0
214,5765,24.0
215,5790,25.0
216,5809,19.0
217,5875,66.0
218,5926,51.0
219,5969,43.0
220,6019,50.0
221,6035,16.0
222,6055,20.0
223,6068,13.0
224,6088,20.0
225,6161,73.0
226,6211,50.0
227,6246,35.0
228,6308,62.0
229,6327,19.0
230,6354,27.0
231,6374,20.0
232,6410,36.0
233,6436,26.0
234,6482,46.0
235,6531,49.0
236,6607,76.0
237,6620,13.0
238,6637,17.0
239,6665,28.0
240,6720,55.0
241,6751,31.0
242,6766,15.0
243,6780,14.0
244,6810,30.0
245,6821,11.0
246,6834,13.0
247,6849,15.0
248,6861,12.0
249,6893,32.0
250,6906,13.0
251,6918,12.0
252,6948,30.0
253,6965,17.0
254,6988,23.0
255,6999,11.0
256,7038,39.0
257,7049,11.0
258,7072,23.0
259,7094,22.0
260,7139,45.0
261,7173,34.0
262,7185,12.0
263,7211,26.0
264,7254,43.0
265,7271,17.0
266,7298,27.0
267,7316,18.0
268,7405,89.0
