update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction
1,2048,-0.010064,44.823920,0.688657,0.004546,0.0540
2,4096,-0.004281,50.145288,0.681165,0.001579,0.0032
3,6144,-0.004381,39.497029,0.675847,0.005518,0.0378
4,8192,-0.008440,28.104592,0.671724,0.010327,0.1098
5,10240,0.001450,29.710874,0.680012,0.005758,0.0366
6,12288,-0.005846,24.486852,0.664231,0.011111,0.0958
7,14336,0.002391,35.813745,0.679279,0.001093,0.0005
8,16384,-0.005997,31.052144,0.663504,0.004557,0.0246
9,18432,-0.008773,27.875631,0.643686,0.003699,0.0275
10,20480,-0.000696,34.364037,0.655241,0.005857,0.0319
11,22528,-0.007734,31.583944,0.631043,0.008562,0.0715
12,24576,-0.003724,30.985924,0.627805,0.007013,0.0482
13,26624,-0.002570,43.242682,0.640051,0.006034,0.0355
14,28672,-0.006769,40.244038,0.621087,0.004182,0.0211
15,30720,0.001429,42.891973,0.622067,0.004236,0.0403
16,32768,0.000551,56.321990,0.630846,0.002948,0.0169
17,34816,-0.007104,54.219542,0.615234,0.006816,0.0979
18,36864,-0.006560,50.876962,0.616448,0.006828,0.0787
19,38912,0.006398,45.328893,0.637412,0.007288,0.0728
20,40960,-0.012698,66.424000,0.595798,0.016396,0.1561
21,43008,0.004322,50.254704,0.625797,0.002229,0.0197
22,45056,-0.010245,66.660112,0.595114,0.007841,0.0678
23,47104,0.003273,45.797573,0.610378,0.004578,0.0415
24,49152,-0.002610,58.685464,0.604293,0.013542,0.1028
25,50000,0.007508,61.289515,0.648078,0.001994,0.0092
